Starting program at Sun Jan  9 12:07:08 2022

CUDA_PLAYOUT: 0, N_PLAYOUT: 1

play: 0
 0, 5.956 [ms]
 2, 5.580 [ms]
 4, 5.362 [ms]
 6, 5.148 [ms]
 8, 4.920 [ms]
10, 4.635 [ms]
12, 4.427 [ms]
14, 4.131 [ms]
16, 3.872 [ms]
18, 3.642 [ms]
20, 3.416 [ms]
22, 3.189 [ms]
24, 2.965 [ms]
26, 2.691 [ms]
28, 2.479 [ms]
30, 2.208 [ms]
32, 1.997 [ms]
34, 1.814 [ms]
36, 1.586 [ms]
38, 1.400 [ms]
40, 1.244 [ms]
42, 1.073 [ms]
44, 0.894 [ms]
46, 0.736 [ms]
47, 0.666 [ms]
49, 0.514 [ms]
51, 0.394 [ms]
53, 0.298 [ms]
55, 0.153 [ms]
57, 0.091 [ms]
59, 0.046 [ms]

play: 1
 0, 5.742 [ms]
 2, 5.592 [ms]
 4, 5.340 [ms]
 6, 5.194 [ms]
 8, 4.961 [ms]
10, 4.753 [ms]
12, 4.510 [ms]
14, 4.254 [ms]
16, 4.011 [ms]
18, 3.800 [ms]
20, 3.523 [ms]
22, 3.281 [ms]
24, 3.041 [ms]
26, 2.775 [ms]
28, 2.542 [ms]
30, 2.326 [ms]
32, 2.109 [ms]
34, 1.929 [ms]
36, 1.712 [ms]
38, 1.508 [ms]
40, 1.320 [ms]
42, 1.133 [ms]
44, 0.952 [ms]
46, 0.769 [ms]
48, 0.604 [ms]
50, 0.462 [ms]
52, 0.324 [ms]
54, 0.240 [ms]
56, 0.143 [ms]
58, 0.094 [ms]
59, 0.046 [ms]

play: 2
 0, 5.785 [ms]
 2, 5.540 [ms]
 4, 5.349 [ms]
 6, 5.133 [ms]
 8, 4.947 [ms]
10, 4.682 [ms]
12, 4.449 [ms]
14, 4.143 [ms]
16, 3.878 [ms]
18, 3.667 [ms]
20, 3.430 [ms]
22, 3.192 [ms]
24, 2.947 [ms]
26, 2.719 [ms]
28, 2.480 [ms]
30, 2.214 [ms]
32, 1.978 [ms]
34, 1.828 [ms]
36, 1.643 [ms]
38, 1.394 [ms]
40, 1.246 [ms]
42, 1.044 [ms]
44, 0.875 [ms]
46, 0.742 [ms]
48, 0.610 [ms]
50, 0.479 [ms]
52, 0.348 [ms]
54, 0.230 [ms]
56, 0.142 [ms]
58, 0.075 [ms]
59, 0.046 [ms]

play: 3
 0, 5.749 [ms]
 2, 5.577 [ms]
 4, 5.349 [ms]
 6, 5.149 [ms]
 8, 4.866 [ms]
10, 4.631 [ms]
12, 4.369 [ms]
14, 4.109 [ms]
16, 3.929 [ms]
18, 3.649 [ms]
20, 3.395 [ms]
22, 3.144 [ms]
24, 2.900 [ms]
26, 2.670 [ms]
28, 2.466 [ms]
30, 2.257 [ms]
32, 2.011 [ms]
34, 1.800 [ms]
36, 1.622 [ms]
38, 1.426 [ms]
40, 1.235 [ms]
42, 1.062 [ms]
44, 0.906 [ms]
46, 0.729 [ms]
48, 0.599 [ms]
50, 0.466 [ms]
52, 0.343 [ms]
54, 0.222 [ms]
56, 0.147 [ms]
58, 0.058 [ms]

play: 4
 0, 5.785 [ms]
 2, 5.528 [ms]
 4, 5.296 [ms]
 6, 5.036 [ms]
 8, 4.892 [ms]
10, 4.616 [ms]
12, 4.392 [ms]
14, 4.212 [ms]
16, 3.954 [ms]
18, 3.695 [ms]
20, 3.523 [ms]
22, 3.254 [ms]
24, 3.025 [ms]
26, 2.801 [ms]
28, 2.562 [ms]
30, 2.343 [ms]
32, 2.131 [ms]
34, 1.911 [ms]
36, 1.698 [ms]
38, 1.459 [ms]
40, 1.278 [ms]
42, 1.115 [ms]
44, 0.928 [ms]
46, 0.753 [ms]
48, 0.610 [ms]
50, 0.477 [ms]
52, 0.360 [ms]
54, 0.256 [ms]
56, 0.150 [ms]
58, 0.074 [ms]
59, 0.046 [ms]

play: 5
 0, 5.770 [ms]
 2, 5.554 [ms]
 4, 5.332 [ms]
 6, 5.124 [ms]
 8, 4.892 [ms]
10, 4.606 [ms]
12, 4.370 [ms]
14, 4.132 [ms]
16, 3.827 [ms]
18, 3.622 [ms]
20, 3.380 [ms]
22, 3.125 [ms]
24, 2.898 [ms]
26, 2.689 [ms]
28, 2.475 [ms]
30, 2.289 [ms]
32, 2.071 [ms]
34, 1.874 [ms]
36, 1.655 [ms]
38, 1.462 [ms]
40, 1.267 [ms]
42, 1.094 [ms]
