Starting program at Sun Jan 16 22:46:31 2022

Parameter, CUDA_PLAYOUT, n_playout, N_SIMULATION, EXPAND_BASE

Parameter, 1, 1024, 100, 20
play, 0
 0, 209.128,   0.000
 2, 195.460,   0.000
 4, 180.874,   0.000
 6, 176.466,   0.000
 8, 158.496,   0.000
10, 149.925,   0.000
12, 138.006,   0.000
14, 126.355,   0.000
16, 114.995,   0.000
18, 108.573,   0.000
20,  95.681,   0.000
22,  86.932,   0.000
24,  76.761,   0.000
26,  68.081,   0.000
28,  60.544,   0.000
30,  53.709,   0.000
32,  46.501,   0.000
34,  40.838,   0.000
36,  34.978,   0.000
38,  29.145,   0.000
40,  24.018,   0.000
42,  20.363,   0.000
44,  16.363,   0.000
46,  13.007,   0.000
48,   9.499,   0.000
50,   6.652,   0.000
52,   4.394,   0.000
54,   2.447,   0.000
56,   1.024,   0.000
58,   0.355,   0.000

play, 1
 0, 211.472,   0.000
 2, 197.586,   0.000
 4, 187.528,   0.000
 6, 173.268,   0.000
 8, 162.276,   0.000
10, 147.906,   0.000
12, 140.762,   0.000
14, 127.391,   0.000
16, 117.603,   0.000
18, 105.410,   0.000
20,  95.761,   0.000
22,  85.885,   0.000
24,  76.610,   0.000
26,  68.118,   0.000
28,  59.484,   0.000
30,  52.830,   0.000
32,  45.800,   0.000
34,  40.836,   0.000
36,  33.519,   0.000
38,  28.217,   0.000
40,  23.119,   0.000
42,  18.565,   0.000
44,  14.302,   0.000
46,  10.807,   0.000
48,   7.781,   0.000
50,   6.313,   0.000
52,   4.365,   0.000
54,   2.527,   0.000
56,   1.040,   0.000
58,   0.421,   0.000
59,   0.310,   0.000

play, 2
 0, 211.694,   0.000
 2, 197.645,   0.000
 4, 183.723,   0.000
 6, 172.749,   0.000
 8, 158.618,   0.000
10, 150.349,   0.000
12, 136.466,   0.000
14, 123.961,   0.000
16, 114.276,   0.000
18, 103.798,   0.000
20,  94.016,   0.000
22,  84.246,   0.000
24,  75.278,   0.000
26,  69.273,   0.000
28,  60.042,   0.000
30,  52.639,   0.000
32,  45.570,   0.000
34,  39.563,   0.000
36,  34.422,   0.000
38,  28.702,   0.000
40,  22.325,   0.000
42,  18.434,   0.000
44,  14.636,   0.000
46,  12.207,   0.000
48,   8.736,   0.000
50,   6.444,   0.000
52,   4.333,   0.000
54,   2.508,   0.000
56,   0.928,   0.000
58,   0.487,   0.000
59,   0.311,   0.000

play, 3
 0, 213.471,   0.000
 2, 199.211,   0.000
 4, 185.975,   0.000
 6, 173.404,   0.000
 8, 159.483,   0.000
10, 148.664,   0.000
12,  75.516,   0.000
14, 124.305,   0.000
16, 118.330,   0.000
18, 104.380,   0.000
20,  95.062,   0.000
22,  85.964,   0.000
24,  76.079,   0.000
26,  68.853,   0.000
28,  61.219,   0.000
30,  52.713,   0.000
32,  46.352,   0.000
34,  41.164,   0.000
36,  33.644,   0.000
38,  30.391,   0.000
40,  25.790,   0.000
42,  20.941,   0.000
44,  16.578,   0.000
46,  12.794,   0.000
48,   9.685,   0.000
50,   6.668,   0.000
52,   3.657,   0.000
55,   1.737,   0.000
57,   0.545,   0.000
59,   0.310,   0.000

play, 4
 0, 211.146,   0.000
 2, 195.918,   0.000
 4, 183.208,   0.000
 6, 173.564,   0.000
 8, 160.298,   0.000
10, 148.042,   0.000
12, 137.179,   0.000
14, 126.485,   0.000
16, 115.784,   0.000
18, 106.639,   0.000
20,  96.262,   0.000
22,  88.068,   0.000
24,  77.651,   0.000
26,  71.708,   0.000
28,  60.284,   0.000
30,  52.982,   0.000
32,  47.318,   0.000
34,  38.768,   0.000
36,  33.249,   0.000
38,  28.136,   0.000
40,  22.634,   0.000
42,  18.117,   0.000
44,  14.773,   0.000
46,  12.678,   0.000
48,   9.374,   0.000
50,   6.519,   0.000
52,   4.353,   0.000
54,   2.116,   0.000
56,   0.935,   0.000
58,   0.355,   0.000

play, 5
 0, 213.233,   0.000
 2, 196.842,   0.000
 4, 184.324,   0.000
 6, 170.708,   0.000
 8, 163.010,   0.000
10, 147.456,   0.000
12, 136.017,   0.000
14, 125.958,   0.000
16, 116.401,   0.000
18, 104.043,   0.000
20,  97.811,   0.000
22,  84.948,   0.000
24,  78.130,   0.000
26,  69.740,   0.000
28,  62.567,   0.000
30,  53.489,   0.000
32,  47.101,   0.000
34,  39.881,   0.000
36,  34.392,   0.000
38,  29.026,   0.000
40,  23.836,   0.000
42,  21.025,   0.000
44,  16.610,   0.000
46,  12.937,   0.000
48,   9.561,   0.000
50,   6.718,   0.000
52,   4.343,   0.000
54,   2.357,   0.000
56,   1.038,   0.000
58,   0.420,   0.000
59,   0.311,   0.000

play, 6
 0, 210.183,   0.000
 2, 198.057,   0.000
 4, 185.577,   0.000
 6, 172.762,   0.000
 8, 160.305,   0.000
10, 147.973,   0.000
12, 138.517,   0.000
14, 126.453,   0.000
16, 116.383,   0.000
18, 106.444,   0.000
20,  96.022,   0.000
22,  90.644,   0.000
24,  78.170,   0.000
26,  70.915,   0.000
28,  62.044,   0.000
30,  54.057,   0.000
32,  47.707,   0.000
34,  40.740,   0.000
36,  34.328,   0.000
38,  29.325,   0.000
40,  24.032,   0.000
42,  19.496,   0.000
44,  16.656,   0.000
46,  12.957,   0.000
48,   9.844,   0.000
50,   6.356,   0.000
52,   3.930,   0.000
54,   2.141,   0.000
56,   0.596,   0.000
58,   0.332,   0.000

play, 7
 0, 213.737,   0.000
 2, 198.474,   0.000
 4, 184.726,   0.000
 6, 176.436,   0.000
 8, 160.669,   0.000
10, 150.530,   0.000
12, 137.636,   0.000
14, 125.931,   0.000
16,  12.405,   0.000

play, 8
 0, 210.448,   0.000
 2, 198.660,   0.000
 4, 186.281,   0.000
 6, 173.170,   0.000
 8, 162.519,   0.000
10, 148.624,   0.000
12, 135.749,   0.000
14, 128.214,   0.000
16, 115.514,   0.000
18, 106.181,   0.000
20,  94.849,   0.000
22,  84.593,   0.000
24,  48.435,   0.000
26,  66.438,   0.000
28,  59.424,   0.000
30,  52.946,   0.000
32,  45.127,   0.000
34,  39.242,   0.000
36,  33.800,   0.000
38,  28.775,   0.000
40,  24.195,   0.000
42,  19.699,   0.000
44,  15.169,   0.000
46,  11.897,   0.000
48,   9.095,   0.000
50,   6.422,   0.000
52,   4.072,   0.000
54,   2.143,   0.000
56,   0.500,   0.000
58,   0.333,   0.000

play, 9
 0, 211.241,   0.000
 2, 198.911,   0.000
 4, 183.982,   0.000
 6, 172.341,   0.000
 8, 158.237,   0.000
10, 146.184,   0.000
12, 134.521,   0.000
14, 123.005,   0.000
16, 112.057,   0.000
18, 102.330,   0.000
20,  93.466,   0.000
22,  84.810,   0.000
24,  77.140,   0.000
26,  69.194,   0.000
28,  60.208,   0.000
30,  52.759,   0.000
32,  45.609,   0.000
34,  38.494,   0.000
36,  33.373,   0.000
38,  30.816,   0.000
40,  24.880,   0.000
42,  20.359,   0.000
44,  16.194,   0.000
46,  12.898,   0.000
48,   9.962,   0.000
50,   6.861,   0.000
52,   4.451,   0.000
54,   2.185,   0.000
56,   0.963,   0.000
58,   0.333,   0.000

play, 10
 0, 210.576,   0.000
 2, 197.556,   0.000
 4, 185.551,   0.000
 6, 172.470,   0.000
 8, 127.616,   0.000
10, 148.490,   0.000
12, 136.379,   0.000
14, 126.028,   0.000
16, 114.285,   0.000
18, 103.878,   0.000
20,  93.711,   0.000
22,  83.840,   0.000
24,  76.160,   0.000
26,  66.187,   0.000
28,  59.732,   0.000
30,  51.928,   0.000
32,  45.336,   0.000
34,  41.055,   0.000
36,  34.003,   0.000
38,  31.065,   0.000
40,  25.063,   0.000
42,  20.686,   0.000
44,  16.987,   0.000
46,  13.290,   0.000
48,  10.112,   0.000
50,   6.953,   0.000
52,   3.577,   0.000
54,   1.890,   0.000
56,   1.314,   0.000
57,   0.712,   0.000
58,   0.404,   0.000

play, 11
 0, 212.149,   0.000
 2, 197.358,   0.000
 4, 181.416,   0.000
 6, 166.616,   0.000
 8, 154.811,   0.000
10, 150.770,   0.000
12, 139.678,   0.000
14, 120.614,   0.000
16, 110.199,   0.000
18, 100.808,   0.000
20,  90.977,   0.000
22,  82.594,   0.000
24,  74.790,   0.000
26,  66.503,   0.000
28,  59.367,   0.000
30,  53.503,   0.000
32,  51.517,   0.000
33,  43.800,   0.000
35,  35.863,   0.000
37,  31.518,   0.000
39,  28.200,   0.000
41,  21.679,   0.000
43,  17.151,   0.000
45,  16.153,   0.000
46,  13.126,   0.000
48,   9.676,   0.000
50,   6.996,   0.000
52,   4.610,   0.000
54,   2.942,   0.000
56,   1.215,   0.000
57,   0.697,   0.000
59,   0.310,   0.000

play, 12
 0, 210.401,   0.000
 2, 197.748,   0.000
 4, 184.242,   0.000
 6, 174.385,   0.000
 8, 164.825,   0.000
10, 149.729,   0.000
12, 136.708,   0.000
14, 125.972,   0.000
16, 114.443,   0.000
18, 104.938,   0.000
20,  95.107,   0.000
22,  85.779,   0.000
24,  78.860,   0.000
26,  68.980,   0.000
28,  61.236,   0.000
30,  52.712,   0.000
32,  45.516,   0.000
34,  39.503,   0.000
36,  36.316,   0.000
38,  30.910,   0.000
40,  25.698,   0.000
42,  20.617,   0.000
44,  16.811,   0.000
45,  14.613,   0.000
47,  11.093,   0.000
49,   8.139,   0.000
50,   6.575,   0.000
52,   4.513,   0.000
54,   2.731,   0.000
56,   1.056,   0.000
58,   0.333,   0.000

play, 13
 0, 210.802,   0.000
 2, 197.045,   0.000
 4, 184.361,   0.000
 6, 170.941,   0.000
 8, 158.675,   0.000
10, 146.108,   0.000
12, 134.818,   0.000
14, 124.001,   0.000
16, 111.758,   0.000
18, 101.114,   0.000
20,  91.022,   0.000
22,  82.823,   0.000
24,  73.431,   0.000
26,  65.092,   0.000
28,  57.849,   0.000
30,  50.356,   0.000
32,  44.606,   0.000
34,  42.191,   0.000
36,  36.389,   0.000
38,  30.407,   0.000
40,  24.632,   0.000
42,  20.410,   0.000
44,  16.121,   0.000
46,  12.437,   0.000
48,   9.159,   0.000
50,   6.768,   0.000
52,   4.588,   0.000
54,   2.622,   0.000
56,   1.050,   0.000
58,   0.421,   0.000
59,   0.309,   0.000

play, 14
 0, 212.606,   0.000
 2, 197.616,   0.000
 4, 184.880,   0.000
 6, 174.196,   0.000
 8, 159.514,   0.000
10, 148.582,   0.000
12, 135.777,   0.000
14, 124.415,   0.000
16, 113.787,   0.000
18, 106.059,   0.000
20,  93.099,   0.000
22,  83.780,   0.000
24,  75.151,   0.000
26,  66.523,   0.000
28,  60.288,   0.000
30,  57.841,   0.000
31,  52.100,   0.000
33,  45.617,   0.000
35,  39.244,   0.000
37,  33.353,   0.000
39,  28.045,   0.000
41,  22.929,   0.000
43,  18.620,   0.000
45,  14.462,   0.000
47,  11.075,   0.000
49,   7.495,   0.000
51,   4.940,   0.000
53,   2.451,   0.000
55,   1.637,   0.000
57,   0.620,   0.000
59,   0.310,   0.000

play, 15
 0, 210.972,   0.000
 2, 199.914,   0.000
 4, 187.077,   0.000
 6, 174.248,   0.000
 8, 161.242,   0.000
10, 147.781,   0.000
12, 136.840,   0.000
14, 125.465,   0.000
16, 115.721,   0.000
18, 105.065,   0.000
20,  96.296,   0.000
22,  88.583,   0.000
24,  78.170,   0.000
26,  68.688,   0.000
28,  60.274,   0.000
30,  53.191,   0.000
32,  45.368,   0.000
34,  41.087,   0.000
36,  35.052,   0.000
38,  29.671,   0.000
40,  27.396,   0.000
41,  23.712,   0.000
43,  19.578,   0.000
45,  15.841,   0.000
47,  11.787,   0.000
49,   8.422,   0.000
51,   5.800,   0.000
53,   3.710,   0.000
54,   3.016,   0.000
55,   1.972,   0.000
57,   0.675,   0.000
59,   0.310,   0.000

play, 16
 0, 212.765,   0.000
 2, 199.319,   0.000
 4, 184.573,   0.000
 6, 171.639,   0.000
 8, 159.506,   0.000
10, 148.444,   0.000
12, 140.489,   0.000
14, 129.002,   0.000
16, 116.180,   0.000
18, 107.393,   0.000
20,  96.896,   0.000
22,  86.710,   0.000
24,  77.543,   0.000
26,  70.958,   0.000
28,  60.632,   0.000
30,  52.518,   0.000
32,  46.740,   0.000
34,  39.613,   0.000
36,  33.704,   0.000
38,  28.074,   0.000
40,  23.159,   0.000
42,  18.677,   0.000
44,  14.266,   0.000
46,  10.654,   0.000
48,   7.856,   0.000
50,   5.108,   0.000
52,   3.570,   0.000
54,   2.150,   0.000
56,   1.094,   0.000
58,   0.420,   0.000
59,   0.310,   0.000

play, 17
 0, 209.899,   0.000
 2, 200.251,   0.000
 4, 184.652,   0.000
 6, 172.686,   0.000
 8, 157.545,   0.000
10, 145.986,   0.000
12, 135.148,   0.000
14, 123.289,   0.000
16, 112.446,   0.000
18, 103.314,   0.000
20,  94.289,   0.000
22,  83.637,   0.000
24,  76.387,   0.000
26,  67.921,   0.000
28,  60.377,   0.000
30,  52.352,   0.000
32,  46.763,   0.000
34,  39.609,   0.000
36,  34.537,   0.000
38,  28.443,   0.000
40,  23.598,   0.000
42,  19.609,   0.000
44,  16.761,   0.000
46,  12.973,   0.000
48,   9.722,   0.000
50,   6.833,   0.000
52,   4.554,   0.000
54,   2.362,   0.000
56,   0.930,   0.000
58,   0.332,   0.000

play, 18
 0, 210.800,   0.000
 2, 198.029,   0.000
 4, 181.710,   0.000
 6, 167.561,   0.000
 8, 156.303,   0.000
10, 145.204,   0.000
12, 133.824,   0.000
14, 124.857,   0.000
16, 111.841,   0.000
18, 101.512,   0.000
20,  93.761,   0.000
22,  83.412,   0.000
24,  74.290,   0.000
26,  69.195,   0.000
28,  67.480,   0.000
29,  61.601,   0.000
31,  53.962,   0.000
33,  47.107,   0.000
35,  39.601,   0.000
37,  34.123,   0.000
39,  27.815,   0.000
41,  23.089,   0.000
43,  18.935,   0.000
45,  14.850,   0.000
47,  11.265,   0.000
49,   7.978,   0.000
51,   5.362,   0.000
53,   3.262,   0.000
55,   1.401,   0.000
57,   0.565,   0.000
59,   0.310,   0.000

play, 19
 0, 209.924,   0.000
 2, 198.594,   0.000
 4, 186.884,   0.000
 6, 127.862,   0.000
 8, 158.736,   0.000
10, 145.800,   0.000
12,  11.214,   0.000


Parameter, 1, 2048, 100, 20
play, 0
 0, 213.195,   0.000
 2, 197.784,   0.000
 4, 181.920,   0.000
 6, 171.951,   0.000
 8, 155.677,   0.000
10, 147.872,   0.000
12, 137.802,   0.000
14, 126.690,   0.000
16, 115.447,   0.000
18, 104.110,   0.000
20,  94.914,   0.000
22,  86.138,   0.000
24,  76.215,   0.000
26,  68.267,   0.000
28,  60.091,   0.000
30,  54.076,   0.000
32,  47.148,   0.000
34,  40.780,   0.000
36,  34.412,   0.000
38,  28.253,   0.000
40,  22.892,   0.000
42,  19.110,   0.000
44,  15.548,   0.000
46,  12.919,   0.000
48,  10.321,   0.000
50,   6.449,   0.000
52,   3.964,   0.000
54,   1.820,   0.000
56,   0.822,   0.000
58,   0.375,   0.000

play, 1
 0, 210.704,   0.000
 2, 198.188,   0.000
 4, 186.572,   0.000
 6, 173.853,   0.000
 8, 161.163,   0.000
10, 148.874,   0.000
12, 136.437,   0.000
14, 126.620,   0.000
16, 116.098,   0.000
18, 104.893,   0.000
20,  94.824,   0.000
22,  85.263,   0.000
24,  77.436,   0.000
26,  68.147,   0.000
28,  59.885,   0.000
30,  54.265,   0.000
32,  45.599,   0.000
34,  39.546,   0.000
36,  34.949,   0.000
38,  31.002,   0.000
40,  26.063,   0.000
42,  21.015,   0.000
44,  16.554,   0.000
46,  12.738,   0.000
48,   9.630,   0.000
50,   6.897,   0.000
52,   4.522,   0.000
54,   2.733,   0.000
56,   0.895,   0.000
58,   0.354,   0.000

play, 2
 0, 214.179,   0.000
 2, 197.688,   0.000
 4, 184.188,   0.000
 6, 170.817,   0.000
 8, 158.271,   0.000
10, 146.001,   0.000
12, 134.698,   0.000
14, 122.689,   0.000
16, 111.831,   0.000
18, 101.863,   0.000
20,  94.237,   0.000
22,  92.318,   0.000
23,  88.380,   0.000
24,  78.166,   0.000
26,  76.102,   0.000
27,  68.769,   0.000
29,  61.925,   0.000
31,  55.411,   0.000
32,  47.068,   0.000
33,  41.366,   0.000
34,   3.202,   0.000

play, 3
 0, 212.763,   0.000
 2, 198.065,   0.000
 4, 185.017,   0.000
 6, 173.369,   0.000
 8, 160.115,   0.000
10, 147.425,   0.000
12, 137.624,   0.000
14, 124.765,   0.000
16, 114.520,   0.000
18, 105.996,   0.000
20,  95.473,   0.000
22,  85.979,   0.000
24,  77.860,   0.000
26,  69.576,   0.000
28,  61.519,   0.000
30,  53.855,   0.000
32,  46.663,   0.000
34,  39.781,   0.000
36,  33.928,   0.000
38,  29.791,   0.000
40,  26.161,   0.000
42,  21.332,   0.000
44,  16.751,   0.000
46,  13.073,   0.000
48,  10.141,   0.000
49,   8.907,   0.000
50,   7.143,   0.000
52,   4.974,   0.000
53,   3.698,   0.000
55,   1.655,   0.000
57,   0.698,   0.000
59,   0.330,   0.000

play, 4
 0, 210.139,   0.000
 2, 198.336,   0.000
 4, 181.606,   0.000
 6, 167.559,   0.000
 8, 158.906,   0.000
10, 148.438,   0.000
12, 136.235,   0.000
14, 124.255,   0.000
16, 115.984,   0.000
18, 104.280,   0.000
20,  94.307,   0.000
22,  84.814,   0.000
24,  74.996,   0.000
26,  67.130,   0.000
28,  59.444,   0.000
30,  51.823,   0.000
32,  44.896,   0.000
34,  38.943,   0.000
36,  33.243,   0.000
38,  30.662,   0.000
40,  26.281,   0.000
42,  21.810,   0.000
44,  17.458,   0.000
46,  13.578,   0.000
48,  10.024,   0.000
49,   8.514,   0.000
51,   5.470,   0.000
53,   3.444,   0.000
55,   1.674,   0.000
57,   0.572,   0.000
59,   0.331,   0.000

play, 5
 0, 210.888,   0.000
 2, 198.785,   0.000
 4, 181.593,   0.000
 6, 170.862,   0.000
 8, 156.411,   0.000
10, 144.541,   0.000
12, 132.871,   0.000
14, 121.955,   0.000
16, 112.983,   0.000
18, 102.816,   0.000
20,  95.383,   0.000
22,  85.650,   0.000
24,  78.017,   0.000
26,  75.312,   0.000
27,  71.366,   0.000
28,  60.335,   0.000
30,  53.527,   0.000
32,  47.642,   0.000
34,  45.747,   0.000
35,  39.884,   0.000
37,  35.326,   0.000
38,  32.443,   0.000
40,  26.601,   0.000
42,  19.740,   0.000
44,  18.000,   0.000
46,  13.842,   0.000
47,   9.201,   0.000
49,   8.733,   0.000
51,   5.744,   0.000
53,   3.338,   0.000
55,   1.543,   0.000
57,   0.586,   0.000
59,   0.331,   0.000

play, 6
 0, 211.057,   0.000
 2, 198.682,   0.000
 4, 180.743,   0.000
 6, 170.630,   0.000
 8, 159.567,   0.000
10, 147.705,   0.000
12, 135.896,   0.000
14, 123.814,   0.000
16, 113.598,   0.000
18, 103.309,   0.000
20,  94.056,   0.000
22,  85.085,   0.000
24,  76.175,   0.000
26,  68.075,   0.000
28,  61.295,   0.000
30,  53.574,   0.000
32,  48.228,   0.000
34,  39.592,   0.000
36,  34.485,   0.000
38,  29.206,   0.000
40,  22.950,   0.000
42,  19.256,   0.000
44,  16.109,   0.000
46,  12.268,   0.000
48,   8.516,   0.000
50,   5.633,   0.000
52,   3.445,   0.000
54,   2.119,   0.000
56,   0.800,   0.000
58,   0.354,   0.000

play, 7
 0, 213.050,   0.000
 2, 199.048,   0.000
 4, 184.412,   0.000
 6, 173.219,   0.000
 8, 161.010,   0.000
10, 148.002,   0.000
12, 136.828,   0.000
14, 125.972,   0.000
16, 114.916,   0.000
18, 105.283,   0.000
20,  95.504,   0.000
22,  86.331,   0.000
24,  77.917,   0.000
26,  69.404,   0.000
28,  63.150,   0.000
30,  55.036,   0.000
32,  46.764,   0.000
34,  40.641,   0.000
36,  33.718,   0.000
38,  28.669,   0.000
40,  24.481,   0.000
42,  21.196,   0.000
44,  16.940,   0.000
46,  13.198,   0.000
48,   9.900,   0.000
50,   6.738,   0.000
52,   4.512,   0.000
54,   2.683,   0.000
56,   1.107,   0.000
58,   0.512,   0.000
59,   0.330,   0.000

play, 8
 0, 211.566,   0.000
 2, 197.829,   0.000
 4, 181.907,   0.000
 6, 169.865,   0.000
 8, 158.996,   0.000
10, 147.026,   0.000
12, 135.418,   0.000
14, 123.448,   0.000
16, 114.053,   0.000
18, 104.492,   0.000
20,  94.803,   0.000
22,  84.457,   0.000
24,  78.203,   0.000
26,  67.863,   0.000
28,  59.184,   0.000
30,  52.132,   0.000
32,  46.525,   0.000
34,  40.014,   0.000
36,  35.456,   0.000
38,  30.668,   0.000
40,  25.773,   0.000
42,  20.909,   0.000
44,  17.087,   0.000
46,  12.965,   0.000
48,   9.786,   0.000
50,   7.112,   0.000
52,   4.580,   0.000
54,   2.710,   0.000
55,   1.792,   0.000
57,   0.413,   0.000
59,   0.331,   0.000

play, 9
 0, 215.560,   0.000
 2, 198.864,   0.000
 4, 184.918,   0.000
 6, 175.226,   0.000
 8, 159.563,   0.000
10, 147.777,   0.000
12, 135.528,   0.000
14, 128.016,   0.000
16, 115.942,   0.000
18, 105.872,   0.000
20,  95.644,   0.000
22,  88.535,   0.000
24,  77.047,   0.000
26,  69.266,   0.000
28,  61.212,   0.000
30,  53.228,   0.000
32,  46.676,   0.000
34,  40.294,   0.000
36,  34.161,   0.000
38,  28.390,   0.000
40,  23.490,   0.000
42,  19.239,   0.000
44,  14.974,   0.000
46,  11.265,   0.000
48,   8.098,   0.000
50,   6.480,   0.000
52,   4.374,   0.000
54,   2.444,   0.000
56,   0.969,   0.000
58,   0.442,   0.000
59,   0.330,   0.000

play, 10
 0, 219.670,   0.000
 2, 198.378,   0.000
 4, 185.569,   0.000
 6, 170.738,   0.000
 8, 161.245,   0.000
10, 149.749,   0.000
12, 137.678,   0.000
14, 125.574,   0.000
16, 115.408,   0.000
18, 104.597,   0.000
20,  94.762,   0.000
22,  85.188,   0.000
24,  75.369,   0.000
26,  67.155,   0.000
28,  60.383,   0.000
30,  53.897,   0.000
32,  46.346,   0.000
34,  39.616,   0.000
36,  34.338,   0.000
38,  29.778,   0.000
40,  26.650,   0.000
42,  21.614,   0.000
44,  17.627,   0.000
46,  13.540,   0.000
47,  12.278,   0.000
48,  10.432,   0.000
49,   8.812,   0.000
51,   6.229,   0.000
52,   5.046,   0.000
53,   3.959,   0.000
54,   1.580,   0.000
56,   0.645,   0.000

play, 11
 0, 210.615,   0.000
 2, 200.673,   0.000
 4, 181.822,   0.000
 6, 166.752,   0.000
 8, 156.861,   0.000
10,  81.683,   0.000
12, 136.809,   0.000
14, 128.339,   0.000
16, 116.305,   0.000
18, 106.925,   0.000
20,  96.959,   0.000
22,  86.398,   0.000
24,  77.653,   0.000
