Starting program at Mon Jan 10 14:51:17 2022

Parameter: CUDA_PLAYOUT, n_playout, N_SIMULATION, EXPAND_BASE

Parameter, 1, 2, 100, 20
play, 0
 0, 216.666,  11.487
 2, 201.900,  11.019
 4, 190.785,  10.515
 6, 179.910,  10.205
 8, 168.815,   9.781
10, 156.819,   9.395
12, 145.144,   8.922
14, 132.533,   8.356
16, 122.719,   7.982
18, 111.875,   7.459
20, 102.321,   7.066
22,  92.603,   6.606
24,  83.420,   6.116
26,  74.855,   5.679
28,  66.513,   5.245
30,  58.726,   4.841
32,  51.289,   4.390
34,  43.783,   3.873
36,  37.593,   3.456
38,  31.081,   2.961
40,  26.479,   2.598
42,  21.346,   2.212
44,  16.761,   1.857
46,  13.003,   1.537
48,   9.336,   1.184
50,   6.754,   0.952
52,   4.012,   0.647
54,   2.145,   0.420
56,   0.881,   0.249
58,   0.320,   0.102

play, 1
 0, 217.344,  11.442
 2, 204.069,  11.029
 4, 194.058,  10.766
 6, 179.331,  10.203
 8, 168.046,   9.813
10, 156.676,   9.304
12, 144.931,   8.791
14, 134.228,   8.356
16, 122.808,   7.797
18, 112.171,   7.291
20, 102.280,   6.887
22,  91.258,   6.358
24,  82.734,   5.897
26,  73.616,   5.320
28,  65.564,   4.894
30,  57.115,   4.424
32,  49.963,   4.030
34,  42.913,   3.644
36,  36.319,   3.224
38,  31.100,   2.867
40,  25.576,   2.475
42,  20.837,   2.076
44,  16.785,   1.778
46,  12.780,   1.460
48,   9.636,   1.193
50,   6.757,   0.908
52,   4.248,   0.672
54,   2.318,   0.464
56,   0.975,   0.280
58,   0.323,   0.103

play, 2
 0, 217.768,  11.452
 2, 206.972,  11.132
 4, 193.935,  10.698
 6, 181.815,  10.238
 8, 168.716,   9.709
10, 155.534,   9.218
12, 142.933,   8.684
14, 131.233,   8.188
16, 121.012,   7.681
18, 110.284,   7.215
20, 100.211,   6.776
22,  90.946,   6.329
24,  82.715,   5.941
26,  74.035,   5.521
28,  65.466,   4.991
30,  58.248,   4.560
32,  51.064,   4.180
34,  43.943,   3.753
36,  37.273,   3.263
38,  31.515,   2.865
40,  26.152,   2.472
42,  20.801,   2.066
44,  16.867,   1.767
46,  13.077,   1.464
48,  10.187,   1.192
50,   6.837,   0.908
52,   4.419,   0.693
54,   2.618,   0.487
56,   1.068,   0.298
58,   0.390,   0.137
59,   0.279,   0.080

play, 3
 0, 219.220,  11.483
 2, 206.671,  11.083
 4, 193.961,  10.664
 6, 182.038,  10.297
 8, 169.382,   9.814
10, 158.119,   9.368
12, 145.428,   8.848
14, 134.497,   8.390
16, 122.386,   7.925
18, 112.581,   7.458
20, 102.300,   6.903
22,  92.844,   6.410
24,  82.899,   5.977
26,  74.286,   5.516
28,  66.225,   5.038
30,  57.521,   4.466
32,  50.973,   4.120
34,  43.755,   3.618
36,  37.323,   3.208
38,  31.660,   2.800
40,  26.276,   2.461
42,  21.461,   2.098
44,  16.995,   1.771
46,  12.573,   1.422
48,   9.331,   1.142
50,   6.577,   0.877
52,   4.152,   0.667
54,   2.490,   0.461
56,   0.972,   0.249
58,   0.459,   0.170
59,   0.278,   0.080

play, 4
 0, 220.157,  11.529
 2, 207.129,  11.113
 4, 194.626,  10.649
 6, 181.594,  10.256
 8, 169.983,   9.826
10, 158.647,   9.397
12, 146.639,   8.924
14, 134.838,   8.459
16, 123.355,   7.930
18, 113.191,   7.411
20, 102.928,   6.939
22,  92.593,   6.413
24,  84.145,   6.016
26,  74.824,   5.481
28,  66.428,   5.031
30,  58.412,   4.565
32,  51.372,   4.152
34,  44.225,   3.682
36,  37.246,   3.234
38,  31.265,   2.810
40,  26.339,   2.454
42,  21.307,   2.097
44,  16.868,   1.767
46,  12.880,   1.475
48,   9.795,   1.200
50,   6.915,   0.949
52,   4.464,   0.690
54,   2.412,   0.472
56,   1.172,   0.298
57,   0.652,   0.216
58,   0.457,   0.171
59,   0.278,   0.080


Parameter, 1, 4, 100, 20
play, 0
 0, 219.393,  23.021
 2, 207.704,  22.263
 4, 192.666,  21.287
 6, 180.966,  20.467
 8, 170.668,  19.804
10, 159.533,  19.018
12, 147.436,  18.078
14, 135.972,  17.119
16, 123.153,  15.889
18, 114.110,  15.002
20, 104.062,  14.210
22,  93.349,  13.029
24,  83.647,  12.044
26,  75.584,  11.302
28,  66.533,  10.235
30,  58.018,   9.155
32,  50.259,   8.174
34,  44.360,   7.454
36,  37.290,   6.544
38,  31.129,   5.688
40,  26.471,   5.057
42,  21.511,   4.370
44,  17.229,   3.721
46,  13.474,   3.098
48,  10.382,   2.535
50,   7.167,   2.006
51,   6.303,   1.773
52,   4.924,   1.486
53,   3.602,   1.211
54,   2.370,   0.949
56,   0.956,   0.529
58,   0.324,   0.205

play, 1
 0, 217.591,  22.878
 2, 207.206,  22.194
 4, 192.605,  21.246
 6, 179.478,  20.220
 8, 168.272,  19.322
10, 154.783,  18.400
12, 143.910,  17.593
14, 133.483,  16.616
16, 120.436,  15.502
18, 109.058,  14.478
20, 101.096,  13.740
22,  91.714,  12.789
24,  82.755,  11.868
26,  73.493,  10.899
28,  65.422,   9.956
30,  57.319,   8.971
32,  50.196,   8.115
34,  43.365,   7.259
36,  36.935,   6.520
38,  30.968,   5.759
40,  25.853,   5.087
42,  20.813,   4.308
44,  16.638,   3.605
46,  13.005,   2.983
48,   9.610,   2.374
50,   6.786,   1.828
52,   4.397,   1.387
54,   2.462,   0.975
