Starting program at Sun Jan  9 21:49:33 2022

CUDA_PLAYOUT: 1, N_PLAYOUT: 512
N_SIMULATION: 100, EXPAND_BASE: 20

play: 0    ([ms])
 0, 239.328, 2939.001
 2, 221.396, 2806.887
 4, 212.478, 2734.465
 6, 197.478, 2595.907
 8, 183.224, 2463.444
10, 167.394, 2300.865
12, 156.288, 2207.883
14, 144.670, 2092.327
16, 131.766, 1971.224
18, 126.140, 1924.219
20, 102.665, 1730.569
22,  91.919, 1595.991
24,  87.380, 1488.117
26,  78.573, 1341.348
28,  69.378, 1218.277
30,  61.173, 1097.708
32,  52.546, 993.685
34,  45.694, 890.796
36,  39.796, 806.544
38,  33.136, 699.484
40,  27.661, 606.856
42,  23.077, 535.177
44,  18.919, 475.004
46,  14.218, 387.549
48,  10.511, 314.311
50,   7.345, 243.296
52,   4.710, 178.309
54,   2.570, 121.272
56,   1.170,  69.159
58,   0.365,  26.344

play: 1    ([ms])
 0, 236.412, 2925.219
 2, 222.094, 2805.839
 4, 208.697, 2689.706
 6, 194.427, 2567.680
 8, 181.191, 2448.724
10, 170.085, 2339.944
12, 152.194, 2136.571
14, 140.707, 2017.862
16, 126.132, 1885.166
18, 106.243, 1688.015
20, 102.844, 1705.587
22,  89.713, 1525.998
24,  86.306, 1437.135
26,  78.075, 1307.467
28,  68.063, 1188.986
30,  60.601, 1103.058
32,  52.992, 1011.708
34,  45.279, 904.211
36,  39.798, 806.539
38,  32.501, 692.376
40,  27.835, 619.710
42,  23.370, 539.518
44,  19.535, 480.627
46,  14.935, 388.450
48,  10.994, 310.552
50,   7.622, 242.281
52,   4.709, 169.616
54,   2.328, 109.610
56,   0.931,  60.373
58,   0.365,  26.550

play: 2    ([ms])
 0, 233.796, 2902.993
 2, 219.229, 2789.530
 4, 204.587, 2624.173
 6, 193.828, 2522.970
 8, 181.982, 2437.042
10, 169.231, 2328.780
12, 155.196, 2185.644
14, 143.761, 2067.943
16, 126.523, 1911.164
18, 109.990, 1759.698
20,  99.721, 1642.947
22,  90.152, 1538.335
24,  85.158, 1422.562
26,  81.023, 1351.050
28,  69.577, 1192.049
30,  59.859, 1069.417
32,  55.079, 1008.547
34,  46.490, 885.967
36,  38.418, 761.869
38,  33.819, 697.167
40,  28.036, 606.201
42,  23.723, 534.099
44,  19.122, 458.866
46,  14.579, 382.370
48,  11.069, 319.716
50,   7.676, 242.117
52,   5.004, 182.737
54,   2.972, 127.845
55,   1.926,  98.164
57,   0.630,  44.980
59,   0.310,  19.987

play: 3    ([ms])
 0, 234.136, 2911.132
 2, 221.400, 2803.105
 4, 204.875, 2651.424
 6, 197.432, 2590.501
 8, 182.676, 2439.090
10, 166.502, 2271.923
12, 157.709, 2185.992
14, 140.034, 1981.418
16, 122.398, 1855.748
18, 109.044, 1738.620
20,  97.118, 1585.453
22,  95.481, 1548.645
23,  87.026, 1400.028
25,  81.383, 1299.904
27,  77.857, 1263.882
29,  64.941, 1122.229
31,  56.296, 985.284
33,  49.138, 878.947
35,  44.968, 821.694
37,  38.168, 733.092
39,  32.479, 654.863
41,  27.204, 579.382
42,  24.083, 530.980
44,  19.870, 439.800
46,  14.892, 371.224
48,  10.894, 300.125
50,   7.733, 234.685
52,   5.159, 170.898
54,   2.927, 116.786
56,   1.371,  70.327
58,   0.363,  25.397

play: 4    ([ms])
 0, 233.162, 2895.574
 2, 223.490, 2819.213
 4, 207.207, 2654.794
 6, 193.301, 2523.837
 8, 183.979, 2449.460
10, 166.590, 2256.796
12, 155.470, 2176.702
14, 143.616, 2030.206
16, 133.228, 1952.869
18, 118.818, 1849.080
20, 100.704, 1664.111
22,  91.568, 1528.877
24,  85.177, 1419.148
26,  78.200, 1308.252
28,  69.371, 1169.882
30,  60.248, 1064.423
32,  53.755, 981.661
34,  46.144, 881.236
36,  38.397, 761.826
38,  32.006, 669.438
40,  26.015, 576.153
42,  21.222, 496.315
44,  16.406, 405.675
46,  12.761, 334.800
48,  10.095, 291.648
50,   7.875, 246.081
52,   4.994, 179.206
54,   2.887, 123.785
56,   1.287,  72.900
57,   0.610,  44.894
59,   0.310,  19.927

play: 5    ([ms])
 0, 234.278, 2914.557
 2, 222.897, 2813.472
 4, 207.755, 2681.288
 6, 195.426, 2574.694
 8, 182.607, 2481.317
10, 171.888, 2390.369
12, 157.749, 2222.735
14, 144.683, 2094.805
16, 130.835, 1955.049
18, 113.599, 1818.208
20, 103.501, 1739.430
22,  92.023, 1598.979
24,  85.433, 1435.174
26,  77.623, 1302.677
28,  68.475, 1193.466
30,  59.943, 1084.592
32,  52.920, 987.634
34,  47.759, 917.169
36,  40.431, 811.843
38,  33.859, 716.268
40,  28.453, 624.452
42,  22.216, 514.197
44,  17.615, 430.899
46,  13.659, 356.715
48,  10.441, 295.527
50,   6.894, 217.474
52,   5.072, 180.674
54,   2.525, 112.461
56,   1.134,  69.643
58,   0.444,  34.804
59,   0.311,  19.931

play: 6    ([ms])
 0, 232.576, 2898.717
 2, 223.592, 2821.448
 4, 208.704, 2688.328
 6, 193.326, 2547.166
 8, 181.015, 2431.315
10, 168.761, 2310.692
12, 158.674, 2217.714
14, 144.095, 2082.572
16, 133.778, 1985.914
18, 115.962, 1844.414
20, 103.909, 1730.973
22,  92.395, 1621.270
24,  85.687, 1498.816
26,  80.317, 1387.186
28,  70.962, 1262.051
30,  62.063, 1138.389
32,  55.593, 1064.151
34,  47.223, 936.282
36,  39.640, 828.712
38,  34.071, 729.180
40,  29.773, 657.121
42,  24.516, 574.381
44,  19.162, 468.163
46,  15.200, 400.748
48,  11.244, 322.056
50,   7.595, 241.060
52,   5.033, 180.463
54,   2.577, 119.730
56,   1.197,  71.825
58,   0.366,  26.337

play: 7    ([ms])
 0, 234.378, 2908.695
 2, 221.452, 2806.827
 4, 211.147, 2719.893
 6, 196.357, 2586.347
 8, 186.675, 2489.819
10, 170.634, 2332.694
12, 156.314, 2196.348
14, 146.892, 2113.294
16, 134.242, 1979.549
18, 115.894, 1838.139
20,  99.981, 1694.882
22,  93.195, 1575.790
24,  86.987, 1463.453
26,  78.701, 1325.043
28,  69.034, 1186.625
30,  60.733, 1076.501
32,  53.366, 981.645
34,  45.226, 859.523
36,  38.821, 757.501
38,  32.496, 664.595
40,  29.119, 612.489
42,  23.557, 523.417
44,  18.690, 438.757
46,  14.398, 364.607
48,  10.555, 296.562
50,   7.555, 239.570
52,   4.836, 181.884
54,   2.976, 127.585
55,   1.907,  94.223
57,   0.582,  41.630
59,   0.310,  19.932

play: 8    ([ms])
 0, 233.963, 2905.310
 2, 223.204, 2826.767
 4, 207.920, 2683.433
 6, 195.611, 2570.834
