Starting program at Mon Jan 17 12:53:24 2022

Parameter, CUDA_PLAYOUT, n_playout, N_SIMULATION, EXPAND_BASE

Parameter, 1, 8192, 100, 20
play, 0
 0, 296.003,   0.000
 2, 277.242,   0.000
 4, 252.366,   0.000
 6, 232.286,   0.000
 8, 220.663,   0.000
10, 204.420,   0.000
12, 189.762,   0.000
14, 177.863,   0.000
16, 157.963,   0.000
18, 148.566,   0.000
20, 133.240,   0.000
22, 120.366,   0.000
24, 108.201,   0.000
26, 100.140,   0.000
28,  84.720,   0.000
30,  72.946,   0.000
32,  63.806,   0.000
34,  54.211,   0.000
36,  48.003,   0.000
38,  38.115,   0.000
40,  31.835,   0.000
42,  25.218,   0.000
44,  19.501,   0.000
46,  15.123,   0.000
48,  10.754,   0.000
50,   8.751,   0.000
52,   5.748,   0.000
54,   3.270,   0.000
56,   1.490,   0.000
57,   0.735,   0.000
59,   0.417,   0.000

play, 1
 0, 296.325,   0.000
 2, 276.391,   0.000
 4, 257.910,   0.000
 6, 239.030,   0.000
 8, 224.484,   0.000
10, 209.790,   0.000
12, 193.504,   0.000
14, 177.895,   0.000
16, 162.912,   0.000
18, 148.874,   0.000
20, 134.685,   0.000
22, 121.566,   0.000
24, 108.537,   0.000
26,  95.598,   0.000
28,  84.281,   0.000
30,  73.744,   0.000
32,  63.367,   0.000
34,  54.656,   0.000
36,  46.867,   0.000
38,  39.347,   0.000
40,  31.916,   0.000
42,  25.617,   0.000
44,  20.030,   0.000
46,  14.687,   0.000
48,  11.285,   0.000
50,   9.078,   0.000
52,   5.851,   0.000
54,   3.082,   0.000
56,   1.104,   0.000
58,   0.467,   0.000

play, 2
 0, 294.154,   0.000
 2, 276.008,   0.000
 4, 256.469,   0.000
 6, 242.433,   0.000
 8, 147.198,   0.000
10, 199.459,   0.000
12, 183.435,   0.000
14, 167.659,   0.000
16, 155.815,   0.000
18, 142.088,   0.000
20, 129.976,   0.000
22, 117.631,   0.000
24, 104.214,   0.000
26,  93.575,   0.000
28,  84.222,   0.000
30,  77.254,   0.000
32,  64.891,   0.000
34,  54.327,   0.000
36,  46.516,   0.000
38,  38.108,   0.000
40,  31.320,   0.000
42,  26.367,   0.000
44,  22.806,   0.000
46,  17.012,   0.000
48,  12.854,   0.000
50,   9.055,   0.000
52,   5.721,   0.000
54,   2.957,   0.000
56,   1.292,   0.000
58,   0.540,   0.000
59,   0.417,   0.000

play, 3
 0, 293.345,   0.000
 2, 279.264,   0.000
 4, 253.805,   0.000
 6, 237.915,   0.000
 8, 219.959,   0.000
10, 203.861,   0.000
12, 186.517,   0.000
14, 171.755,   0.000
16, 157.293,   0.000
18, 145.048,   0.000
20, 130.910,   0.000
22, 121.863,   0.000
24, 107.048,   0.000
26,  93.944,   0.000
28,  84.502,   0.000
30,  72.553,   0.000
32,  63.371,   0.000
34,  53.954,   0.000
36,  48.603,   0.000
38,  46.837,   0.000
39,  37.057,   0.000
41,  30.800,   0.000
43,  27.098,   0.000
45,  21.795,   0.000
47,  16.034,   0.000
49,  12.383,   0.000
51,   7.585,   0.000
53,   4.695,   0.000
55,   2.437,   0.000
56,   1.537,   0.000
57,   0.646,   0.000

play, 4
 0, 300.526,   0.000
 2, 275.391,   0.000
 4, 258.007,   0.000
 6, 241.608,   0.000
 8, 222.773,   0.000
10, 207.947,   0.000
12, 191.375,   0.000
14, 176.332,   0.000
16, 160.775,   0.000
18, 146.626,   0.000
20, 126.529,   0.000
22, 112.327,   0.000
24, 103.878,   0.000
26,  95.513,   0.000
28,  79.967,   0.000
30,  70.300,   0.000
32,  61.459,   0.000
34,  52.675,   0.000
36,  43.994,   0.000
38,  36.405,   0.000
40,  29.672,   0.000
42,  24.545,   0.000
44,  19.576,   0.000
46,  16.484,   0.000
48,  12.551,   0.000
50,   8.511,   0.000
52,   5.479,   0.000
54,   2.460,   0.000
57,   0.618,   0.000
59,   0.417,   0.000

play, 5
 0, 294.422,   0.000
 2, 275.824,   0.000
 4, 256.591,   0.000
 6, 243.075,   0.000
 8, 224.680,   0.000
10, 204.410,   0.000
12, 189.584,   0.000
14, 173.381,   0.000
16, 161.651,   0.000
18, 149.807,   0.000
20, 133.238,   0.000
22, 118.840,   0.000
24, 109.850,   0.000
26,  96.722,   0.000
28,  85.638,   0.000
30,  75.191,   0.000
32,  67.365,   0.000
34,  55.353,   0.000
36,  47.371,   0.000
38,  38.726,   0.000
40,  31.479,   0.000
42,  24.975,   0.000
44,  20.434,   0.000
46,  17.537,   0.000
48,  13.061,   0.000
50,   9.056,   0.000
52,   5.726,   0.000
54,   3.141,   0.000
56,   1.379,   0.000
58,   0.464,   0.000

