Starting program at Mon Feb 21 01:02:09 2022

Parameter, CUDA_PLAYOUT, n_playout, N_SIMULATION, EXPAND_BASE

Parameter, 1, 8192, 100, 20
play, 0
 0, 295.549,   0.000
 1, 202.725,   0.000
 2, 280.057,   0.000
 3, 192.260,   0.000
 4, 254.662,   0.000
 5, 181.297,   0.000
 6, 240.347,   0.000
 7, 169.713,   0.000
 8, 224.401,   0.000
 9, 155.880,   0.000
10, 206.172,   0.000
11, 149.119,   0.000
12, 195.295,   0.000
13, 135.594,   0.000
14, 177.940,   0.000
15, 123.636,   0.000
16, 162.173,   0.000
17, 112.210,   0.000
18, 147.896,   0.000
19, 102.219,   0.000
20, 134.874,   0.000
21,  93.958,   0.000
22, 121.987,   0.000
23,  85.438,   0.000
24, 110.487,   0.000
25,  75.984,   0.000
26,  97.665,   0.000
27,  66.985,   0.000
28,  85.769,   0.000
29,  58.335,   0.000
30,  75.365,   0.000
31,  51.758,   0.000
32,  65.247,   0.000
33,  44.608,   0.000
34,  55.302,   0.000
35,  38.265,   0.000
36,  46.191,   0.000
37,  31.804,   0.000
38,  38.667,   0.000
39,  26.101,   0.000
40,  32.115,   0.000
41,  21.006,   0.000
42,  25.134,   0.000
43,  16.395,   0.000
44,  19.476,   0.000
45,  12.314,   0.000
46,  14.648,   0.000
47,   9.246,   0.000
48,  10.400,   0.000
49,   6.232,   0.000
50,   7.090,   0.000
51,   4.912,   0.000
52,   5.538,   0.000
53,   3.948,   0.000
54,   2.029,   0.000
55,   1.740,   0.000
56,   0.663,   0.000
57,   0.638,   0.000
58,   0.433,   0.000

play, 1
 0, 299.871,   0.000
 1, 205.970,   0.000
 2, 274.577,   0.000
 3, 194.167,   0.000
 4, 251.738,   0.000
 5, 182.265,   0.000
 6, 245.090,   0.000
 7, 168.139,   0.000
 8, 220.843,   0.000
 9, 156.868,   0.000
10, 203.798,   0.000
11, 142.018,   0.000
12, 187.124,   0.000
13, 131.386,   0.000
14, 172.244,   0.000
15, 122.768,   0.000
16, 160.167,   0.000
17, 114.226,   0.000
18, 146.700,   0.000
19, 103.007,   0.000
20, 132.266,   0.000
21,  93.122,   0.000
22, 117.638,   0.000
23,  83.028,   0.000
24, 105.000,   0.000
25,  74.012,   0.000
26,  93.103,   0.000
27,  65.218,   0.000
28,  82.073,   0.000
29,  58.618,   0.000
30,  71.645,   0.000
31,  50.519,   0.000
32,  61.646,   0.000
33,  42.200,   0.000
34,  53.939,   0.000
35,  36.241,   0.000
36,  44.655,   0.000
37,  30.322,   0.000
38,  36.741,   0.000
39,  25.532,   0.000
40,  30.598,   0.000
41,  20.668,   0.000
42,  24.172,   0.000
43,  16.054,   0.000
44,  18.627,   0.000
45,  12.038,   0.000
46,  13.659,   0.000
47,   8.957,   0.000
48,  10.303,   0.000
49,   6.190,   0.000
50,   6.653,   0.000
51,   3.871,   0.000
52,   3.940,   0.000
53,   2.078,   0.000
54,   1.861,   0.000
55,   0.982,   0.000
56,   0.889,   0.000
57,   0.610,   0.000
58,   0.462,   0.000
59,   0.331,   0.000

play, 2
 0, 295.234,   0.000
 1, 206.685,   0.000
 2, 276.133,   0.000
 3, 190.394,   0.000
 4, 250.788,   0.000
 5, 181.438,   0.000
 6, 237.108,   0.000
 7, 167.431,   0.000
 8, 221.811,   0.000
 9, 158.133,   0.000
10, 205.486,   0.000
11, 144.521,   0.000
12, 188.880,   0.000
13, 132.653,   0.000
14, 174.269,   0.000
15, 122.059,   0.000
16, 159.072,   0.000
17, 110.403,   0.000
18, 144.661,   0.000
19, 100.054,   0.000
20, 129.764,   0.000
21,  90.195,   0.000
22, 117.180,   0.000
23,  82.262,   0.000
24, 106.426,   0.000
25,  73.062,   0.000
26,  94.630,   0.000
27,  65.105,   0.000
28,  84.656,   0.000
29,  58.163,   0.000
30,  73.352,   0.000
31,  50.854,   0.000
32,  63.100,   0.000
33,  44.256,   0.000
34,  54.412,   0.000
35,  37.786,   0.000
36,  46.346,   0.000
37,  31.447,   0.000
38,  38.832,   0.000
39,  25.971,   0.000
40,  30.690,   0.000
41,  21.812,   0.000
42,  24.532,   0.000
43,  16.666,   0.000
44,  19.489,   0.000
45,  12.994,   0.000
46,  14.918,   0.000
47,   9.843,   0.000
48,  11.080,   0.000
49,   6.369,   0.000
50,   7.866,   0.000
51,   4.009,   0.000
52,   3.674,   0.000
53,   2.485,   0.000
54,   2.104,   0.000
55,   1.054,   0.000
56,   0.784,   0.000
57,   0.420,   0.000
58,   0.438,   0.000
59,   0.331,   0.000


Parameter, 1, 16384, 100, 20
play, 0
 0, 638.992,   0.000
 1, 205.301,   0.000
 2, 601.163,   0.000
 3, 192.932,   0.000
 4, 551.339,   0.000
 5, 180.456,   0.000
 6, 516.820,   0.000
 7, 168.132,   0.000
 8, 486.992,   0.000
 9, 155.182,   0.000
10, 446.574,   0.000
11, 143.605,   0.000
12, 423.322,   0.000
13, 132.293,   0.000
14, 378.420,   0.000
15, 124.032,   0.000
16, 349.938,   0.000
17, 111.144,   0.000
18, 320.674,   0.000
19, 100.717,   0.000
20, 290.989,   0.000
21,  91.606,   0.000
22, 258.785,   0.000
23,  79.414,   0.000
24, 229.094,   0.000
25,  71.992,   0.000
26, 204.582,   0.000
27,  66.423,   0.000
28, 183.190,   0.000
29,  57.005,   0.000
30, 160.970,   0.000
31,  50.091,   0.000
32, 141.055,   0.000
33,  42.932,   0.000
34, 117.488,   0.000
35,  36.389,   0.000
36,  99.252,   0.000
37,  30.474,   0.000
38,  82.784,   0.000
39,  25.434,   0.000
40,  66.640,   0.000
41,  20.279,   0.000
42,  53.536,   0.000
43,  16.204,   0.000
44,  41.660,   0.000
45,  11.955,   0.000
46,  30.398,   0.000
47,   8.691,   0.000
48,  22.174,   0.000
49,   6.189,   0.000
50,  14.023,   0.000
51,   3.765,   0.000
52,   8.322,   0.000
53,   2.501,   0.000
54,   4.258,   0.000
55,   1.174,   0.000
56,   1.768,   0.000
57,   0.543,   0.000
58,   0.788,   0.000
59,   0.494,   0.000

play, 1
 0, 642.194,   0.000
 1, 204.921,   0.000
 2, 607.557,   0.000
 3, 193.209,   0.000
 4, 565.146,   0.000
 5, 181.685,   0.000
 6, 530.726,   0.000
 7, 168.884,   0.000
 8, 495.945,   0.000
 9, 155.219,   0.000
10, 456.153,   0.000
11, 145.525,   0.000
12, 428.735,   0.000
13, 135.008,   0.000
14, 391.891,   0.000
15, 123.402,   0.000
16, 362.358,   0.000
17, 112.337,   0.000
18, 343.325,   0.000
19, 102.351,   0.000
20, 299.194,   0.000
21,  94.275,   0.000
22, 273.742,   0.000
23,  84.190,   0.000
24, 246.185,   0.000
25,  77.194,   0.000
26, 221.176,   0.000
27,  67.617,   0.000
28, 192.467,   0.000
29,  58.706,   0.000
30, 169.264,   0.000
31,  50.774,   0.000
32, 144.151,   0.000
33,  44.463,   0.000
34, 122.946,   0.000
35,  37.716,   0.000
36, 108.780,   0.000
37,  32.292,   0.000
38,  90.299,   0.000
39,  27.097,   0.000
40,  74.050,   0.000
41,  22.063,   0.000
42,  58.335,   0.000
43,  17.820,   0.000
44,  44.693,   0.000
45,  12.659,   0.000
46,  33.070,   0.000
47,  10.142,   0.000
48,  23.290,   0.000
49,   6.443,   0.000
50,  15.305,   0.000
51,   4.178,   0.000
52,   9.832,   0.000
53,   2.889,   0.000
54,   7.115,   0.000
55,   1.346,   0.000
56,   2.869,   0.000
57,   0.525,   0.000
58,   0.599,   0.000
59,   0.331,   0.000

play, 2
 0, 642.922,   0.000
 1, 207.002,   0.000
 2, 601.121,   0.000
 3, 196.772,   0.000
 4, 551.240,   0.000
 5, 178.754,   0.000
 6, 529.783,   0.000
 7, 167.809,   0.000
 8, 487.122,   0.000
 9, 157.593,   0.000
10, 451.348,   0.000
11, 142.146,   0.000
12, 424.209,   0.000
13, 132.141,   0.000
14, 380.492,   0.000
15, 121.802,   0.000
16, 350.453,   0.000
17, 110.579,   0.000
18, 319.393,   0.000
19, 101.266,   0.000
20, 290.850,   0.000
21,  90.920,   0.000
22, 258.546,   0.000
23,  80.619,   0.000
24, 231.659,   0.000
25,  72.315,   0.000
26, 208.672,   0.000
27,  64.814,   0.000
28, 188.863,   0.000
29,  58.915,   0.000
30, 168.708,   0.000
31,  50.972,   0.000
32, 144.994,   0.000
33,  43.967,   0.000
34, 122.659,   0.000
35,  37.691,   0.000
36, 106.301,   0.000
37,  31.780,   0.000
38,  87.391,   0.000
39,  25.979,   0.000
40,  71.669,   0.000
41,  21.713,   0.000
42,  57.745,   0.000
43,  16.425,   0.000
44,  43.842,   0.000
45,  13.635,   0.000
46,  33.257,   0.000
47,   9.397,   0.000
48,  23.234,   0.000
49,   6.174,   0.000
50,  17.587,   0.000
51,   5.614,   0.000
52,  13.018,   0.000
53,   3.352,   0.000
54,   7.067,   0.000
55,   1.530,   0.000
56,   2.450,   0.000
57,   0.456,   0.000
58,   0.609,   0.000
59,   0.331,   0.000


Parameter, 1, 24576, 100, 20
play, 0
 0, 977.568,   0.000
 1, 205.834,   0.000
 2, 919.908,   0.000
 3, 191.546,   0.000
 4, 860.588,   0.000
 5, 180.566,   0.000
 6, 811.842,   0.000
 7, 169.089,   0.000
 8, 762.046,   0.000
 9, 155.297,   0.000
10, 698.395,   0.000
11, 145.314,   0.000
12, 648.642,   0.000
13, 133.965,   0.000
14, 590.433,   0.000
15, 123.155,   0.000
16, 551.532,   0.000
17, 111.791,   0.000
18, 495.190,   0.000
19, 102.265,   0.000
20, 458.447,   0.000
21,  92.697,   0.000
22, 411.474,   0.000
23,  83.614,   0.000
24, 377.080,   0.000
25,  74.215,   0.000
26, 334.341,   0.000
27,  66.040,   0.000
28, 294.992,   0.000
29,  59.042,   0.000
30, 261.096,   0.000
31,  51.935,   0.000
32, 226.806,   0.000
33,  45.304,   0.000
34, 194.758,   0.000
35,  38.449,   0.000
36, 165.012,   0.000
37,  32.897,   0.000
38, 137.416,   0.000
39,  26.275,   0.000
40, 111.337,   0.000
41,  21.171,   0.000
42,  88.211,   0.000
43,  17.353,   0.000
44,  68.697,   0.000
45,  13.036,   0.000
46,  50.532,   0.000
47,   9.156,   0.000
48,  36.812,   0.000
49,   7.902,   0.000
50,  26.666,   0.000
51,   5.562,   0.000
52,  19.529,   0.000
53,   3.221,   0.000
54,  10.332,   0.000
55,   1.701,   0.000
56,   3.756,   0.000
57,   0.599,   0.000
58,   0.789,   0.000
59,   0.332,   0.000

play, 1
 0, 981.033,   0.000
 1, 205.397,   0.000
 2, 925.452,   0.000
 3, 190.742,   0.000
 4, 852.409,   0.000
 5, 178.180,   0.000
 6, 792.028,   0.000
 7, 167.179,   0.000
 8, 747.252,   0.000
 9, 157.627,   0.000
10, 694.444,   0.000
11, 146.690,   0.000
12, 640.708,   0.000
