Starting program at Tue Feb 22 15:46:00 2022

Parameter, CUDA_PLAYOUT, n_playout, N_SIMULATION, EXPAND_BASE

Parameter, 1, 4096, 100, 20
play, 0
 0, 213.498,   0.000
 2, 198.475,   0.000
 4, 185.061,   0.000
 6, 172.266,   0.000
 8, 158.471,   0.000
10, 146.243,   0.000
12, 136.897,   0.000
14, 125.349,   0.000
16, 115.087,   0.000
18, 105.836,   0.000
20,  95.486,   0.000
22,  86.092,   0.000
24,  78.502,   0.000
26,  68.355,   0.000
28,  61.131,   0.000
30,  55.042,   0.000
32,  46.859,   0.000
34,  39.879,   0.000
36,  34.509,   0.000
38,  28.508,   0.000
40,  23.502,   0.000
42,  21.091,   0.000
44,  16.494,   0.000
46,  13.205,   0.000
48,   9.721,   0.000
50,   6.777,   0.000
52,   4.429,   0.000
54,   2.501,   0.000
56,   1.119,   0.000
58,   0.490,   0.000

play, 1
 0, 215.136,   0.000
 2, 199.518,   0.000
 4, 183.119,   0.000
 6, 174.948,   0.000
 8, 159.809,   0.000
10, 151.783,   0.000
12, 138.012,   0.000
14, 124.919,   0.000
16, 114.442,   0.000
18, 105.264,   0.000
20,  95.350,   0.000
22,  85.568,   0.000
24,  77.030,   0.000
26,  68.396,   0.000
28,  60.703,   0.000
30,  53.080,   0.000
32,  46.911,   0.000
34,  40.371,   0.000
36,  33.663,   0.000
38,  28.517,   0.000
40,  24.236,   0.000
42,  19.139,   0.000
44,  16.954,   0.000
46,  15.840,   0.000
47,  13.008,   0.000
48,  10.811,   0.000
49,   9.389,   0.000
50,   7.569,   0.000
51,   6.067,   0.000
53,   3.795,   0.000
55,   1.881,   0.000
56,   1.226,   0.000
58,   0.487,   0.000
59,   0.370,   0.000

play, 2
 0, 212.143,   0.000
 2, 200.114,   0.000
 4, 187.238,   0.000
 6, 174.104,   0.000
 8, 161.547,   0.000
10, 152.773,   0.000
12, 140.298,   0.000
14, 127.754,   0.000
16, 116.282,   0.000
18, 105.921,   0.000
20,  96.492,   0.000
22,  90.038,   0.000
24,  78.345,   0.000
26,  69.860,   0.000
28,  61.505,   0.000
30,  53.904,   0.000
32,  46.897,   0.000
34,  40.098,   0.000
36,  33.660,   0.000
38,  27.999,   0.000
40,  23.044,   0.000
42,  18.581,   0.000
44,  15.023,   0.000
46,  11.932,   0.000
48,   9.731,   0.000
50,   7.230,   0.000
52,   4.928,   0.000
54,   2.537,   0.000
56,   1.039,   0.000
58,   0.394,   0.000

play, 3
 0, 213.910,   0.000
 2, 199.758,   0.000
 4, 186.533,   0.000
 6, 173.165,   0.000
 8,  94.122,   0.000
10, 147.649,   0.000
12, 135.364,   0.000
14, 125.705,   0.000
16, 112.776,   0.000
18, 103.229,   0.000
20,  92.698,   0.000
22,  83.612,   0.000
24,  75.319,   0.000
26,  67.510,   0.000
28,  59.405,   0.000
30,  52.477,   0.000
32,  45.958,   0.000
34,  40.100,   0.000
36,  34.176,   0.000
38,  28.615,   0.000
40,  25.069,   0.000
42,  20.997,   0.000
44,  17.534,   0.000
46,  15.214,   0.000
47,  12.410,   0.000
49,   7.854,   0.000
51,   5.341,   0.000
53,   3.205,   0.000
55,   1.295,   0.000
57,   0.538,   0.000

play, 4
 0, 211.566,   0.000
 2, 198.898,   0.000
 4, 185.729,   0.000
 6, 171.615,   0.000
 8, 160.491,   0.000
10, 148.632,   0.000
12, 136.455,   0.000
14, 126.444,   0.000
16, 115.446,   0.000
18, 103.881,   0.000
20,  95.072,   0.000
22,  86.328,   0.000
24,  76.752,   0.000
26,  68.774,   0.000
28,  60.705,   0.000
30,  53.276,   0.000
32,  45.989,   0.000
34,  39.558,   0.000
36,  33.793,   0.000
38,  28.149,   0.000
40,  23.407,   0.000
42,  20.348,   0.000
44,  16.918,   0.000
46,  12.898,   0.000
48,   9.638,   0.000
50,   7.005,   0.000
51,   5.679,   0.000
53,   3.441,   0.000
55,   1.748,   0.000
57,   0.690,   0.000
59,   0.370,   0.000


Parameter, 1, 4608, 100, 20
play, 0
 0, 217.198,   0.000
 2, 199.144,   0.000
 4, 186.787,   0.000
 6, 173.245,   0.000
 8, 158.672,   0.000
10, 147.191,   0.000
12, 135.459,   0.000
14, 127.085,   0.000
16, 114.961,   0.000
18, 105.556,   0.000
20,  94.461,   0.000
22,  84.853,   0.000
24,  75.955,   0.000
26,  72.479,   0.000
28,  59.835,   0.000
30,  52.692,   0.000
32,  45.862,   0.000
34,  39.409,   0.000
36,  33.325,   0.000
38,  28.114,   0.000
40,  22.909,   0.000
42,  18.318,   0.000
44,  15.878,   0.000
46,  12.967,   0.000
48,   9.921,   0.000
49,   8.063,   0.000
51,   5.700,   0.000
53,   3.493,   0.000
55,   1.194,   0.000
57,   0.457,   0.000
59,   0.375,   0.000

play, 1
 0, 214.385,   0.000
 2, 201.336,   0.000
 4, 186.933,   0.000
 6, 175.486,   0.000
 8, 165.715,   0.000
10, 148.960,   0.000
12, 136.681,   0.000
14, 126.079,   0.000
16, 115.253,   0.000
18, 104.729,   0.000
20,  94.396,   0.000
22,  86.126,   0.000
24,  77.267,   0.000
26,  68.474,   0.000
28,  61.239,   0.000
30,  53.420,   0.000
32,  46.725,   0.000
34,  39.592,   0.000
36,  33.544,   0.000
38,  28.236,   0.000
40,  23.569,   0.000
42,  18.906,   0.000
44,  14.698,   0.000
46,  11.846,   0.000
48,  10.283,   0.000
50,   7.305,   0.000
51,   6.104,   0.000
53,   3.635,   0.000
55,   2.000,   0.000
57,   0.898,   0.000
58,   0.561,   0.000
59,   0.375,   0.000

play, 2
 0, 212.948,   0.000
 2, 199.327,   0.000
 4, 186.873,   0.000
 6, 174.626,   0.000
 8, 161.870,   0.000
10, 152.114,   0.000
12, 139.900,   0.000
14, 128.871,   0.000
16, 118.123,   0.000
18, 108.166,   0.000
20,  96.815,   0.000
22,  88.495,   0.000
24,  78.389,   0.000
26,  69.411,   0.000
28,  64.517,   0.000
30,  53.796,   0.000
32,  46.484,   0.000
34,  40.294,   0.000
36,  34.174,   0.000
38,  28.183,   0.000
40,  23.055,   0.000
42,  18.452,   0.000
44,  14.329,   0.000
46,  10.776,   0.000
48,   8.251,   0.000
50,   6.255,   0.000
52,   4.306,   0.000
55,   1.340,   0.000
59,   0.375,   0.000

play, 3
 0, 212.215,   0.000
 2, 199.440,   0.000
 4, 185.051,   0.000
 6, 172.656,   0.000
 8, 162.089,   0.000
10, 148.592,   0.000
12, 136.343,   0.000
14, 126.598,   0.000
16, 116.336,   0.000
18, 103.810,   0.000
20,  94.137,   0.000
22,  84.875,   0.000
24,  75.596,   0.000
26,  67.949,   0.000
28,  59.810,   0.000
30,  52.161,   0.000
32,  44.954,   0.000
34,  38.513,   0.000
36,  33.958,   0.000
38,  27.035,   0.000
40,  22.268,   0.000
42,  18.855,   0.000
44,  15.570,   0.000
46,  12.860,   0.000
48,  10.065,   0.000
49,   8.385,   0.000
50,   6.707,   0.000
52,   4.560,   0.000
54,   2.556,   0.000
56,   1.179,   0.000
58,   0.559,   0.000
59,   0.375,   0.000

play, 4
 0, 214.222,   0.000
 2, 199.684,   0.000
 4, 185.847,   0.000
 6, 171.882,   0.000
 8, 159.018,   0.000
10, 148.096,   0.000
12, 136.707,   0.000
14, 127.316,   0.000
16, 117.982,   0.000
18, 105.356,   0.000
20,  94.928,   0.000
22,  86.198,   0.000
24,  76.954,   0.000
26,  68.467,   0.000
28,  60.208,   0.000
30,  53.184,   0.000
32,  46.016,   0.000
34,  40.348,   0.000
36,  36.440,   0.000
38,  30.292,   0.000
40,  26.315,   0.000
42,  20.962,   0.000
44,  16.898,   0.000
46,  13.368,   0.000
48,   9.987,   0.000
50,   7.102,   0.000
52,   4.665,   0.000
54,   2.641,   0.000
56,   0.953,   0.000
58,   0.422,   0.000


Parameter, 1, 5120, 100, 20
play, 0
 0, 212.048,   0.000
 2, 200.738,   0.000
 4, 185.632,   0.000
 6, 174.358,   0.000
 8, 162.402,   0.000
10, 151.082,   0.000
12, 139.062,   0.000
14, 127.969,   0.000
16, 116.657,   0.000
18, 105.172,   0.000
20,  95.835,   0.000
22,  87.135,   0.000
24,  77.640,   0.000
26,  69.081,   0.000
28,  63.924,   0.000
30,  55.567,   0.000
32,  49.049,   0.000
34,  40.745,   0.000
36,  33.878,   0.000
38,  28.601,   0.000
40,  23.305,   0.000
42,  18.625,   0.000
44,  15.065,   0.000
46,  11.686,   0.000
48,   8.496,   0.000
50,   6.150,   0.000
52,   4.039,   0.000
54,   2.219,   0.000
56,   0.874,   0.000
58,   0.403,   0.000

play, 1
 0, 211.978,   0.000
 2, 200.057,   0.000
 4, 183.180,   0.000
 6, 173.089,   0.000
 8, 160.218,   0.000
10, 147.868,   0.000
12, 137.472,   0.000
14, 124.815,   0.000
16, 113.430,   0.000
18, 103.292,   0.000
20,  95.400,   0.000
22,  84.123,   0.000
24,  75.115,   0.000
26,  67.692,   0.000
28,  59.995,   0.000
30,  53.063,   0.000
32,  47.701,   0.000
34,  39.709,   0.000
36,  33.625,   0.000
38,  28.519,   0.000
40,  23.623,   0.000
42,  20.509,   0.000
44,  16.996,   0.000
46,  13.136,   0.000
48,   9.807,   0.000
50,   6.947,   0.000
52,   4.548,   0.000
54,   2.711,   0.000
56,   1.127,   0.000
58,   0.566,   0.000
59,   0.382,   0.000

play, 2
 0, 215.117,   0.000
 2, 200.019,   0.000
 4, 187.215,   0.000
 6, 174.198,   0.000
 8, 160.469,   0.000
10, 147.118,   0.000
12, 137.031,   0.000
14, 123.651,   0.000
16, 112.790,   0.000
18, 101.888,   0.000
20,  94.941,   0.000
22,  92.874,   0.000
23,  78.317,   0.000
25,  69.498,   0.000
27,  62.475,   0.000
29,  57.113,   0.000
31,  48.426,   0.000
33,  44.335,   0.000
35,  42.843,   0.000
36,  38.301,   0.000
37,  34.494,   0.000
38,  31.366,   0.000
39,  28.078,   0.000
41,  23.505,   0.000
43,  19.247,   0.000
45,  14.880,   0.000
47,  11.508,   0.000
49,   8.449,   0.000
51,   5.640,   0.000
53,   3.442,   0.000
55,   1.607,   0.000
57,   0.899,   0.000
58,   0.562,   0.000
59,   0.381,   0.000

play, 3
 0, 212.947,   0.000
 2, 199.760,   0.000
 4, 182.168,   0.000
 6, 172.520,   0.000
 8, 159.665,   0.000
10, 150.681,   0.000
12, 137.612,   0.000
14, 125.257,   0.000
16, 114.198,   0.000
18, 103.620,   0.000
20,  94.116,   0.000
22,  86.093,   0.000
24,  76.822,   0.000
26,  68.785,   0.000
28,  60.808,   0.000
30,  60.463,   0.000
31,  51.661,   0.000
33,  49.489,   0.000
34,  45.494,   0.000
35,  40.503,   0.000
36,  36.484,   0.000
37,  33.239,   0.000
38,  22.713,   0.000

play, 4
 0, 213.497,   0.000
 2, 203.410,   0.000
 4, 185.061,   0.000
 6, 173.543,   0.000
 8, 161.743,   0.000
10, 149.522,   0.000
12, 137.669,   0.000
14, 125.844,   0.000
16, 115.930,   0.000
18, 105.732,   0.000
20,  96.131,   0.000
22,  86.524,   0.000
24,  77.063,   0.000
26,  68.143,   0.000
28,  60.581,   0.000
30,  52.603,   0.000
32,  46.871,   0.000
34,  38.588,   0.000
36,  32.711,   0.000
38,  26.909,   0.000
40,  22.237,   0.000
42,  18.127,   0.000
44,  14.579,   0.000
46,  13.023,   0.000
48,   9.503,   0.000
50,   6.742,   0.000
52,   4.536,   0.000
54,   2.620,   0.000
56,   1.217,   0.000
58,   0.427,   0.000


Parameter, 1, 5632, 100, 20
play, 0
 0, 215.149,   0.000
 2, 199.509,   0.000
 4, 185.659,   0.000
 6, 173.253,   0.000
 8, 160.510,   0.000
10, 147.911,   0.000
12, 137.141,   0.000
14, 125.345,   0.000
16, 114.420,   0.000
18, 103.702,   0.000
20,  93.790,   0.000
22,  83.527,   0.000
24,  74.542,   0.000
26,  66.624,   0.000
28,  59.423,   0.000
30,  51.826,   0.000
32,  45.831,   0.000
34,  39.594,   0.000
36,  34.880,   0.000
38,  29.697,   0.000
40,  25.894,   0.000
42,  20.986,   0.000
44,  16.494,   0.000
46,  13.205,   0.000
48,   9.633,   0.000
50,   6.731,   0.000
52,   4.696,   0.000
54,   2.625,   0.000
56,   1.241,   0.000
58,   0.497,   0.000
59,   0.387,   0.000

play, 1
 0, 212.103,   0.000
 2, 199.312,   0.000
 4, 182.323,   0.000
 6, 172.079,   0.000
 8, 160.553,   0.000
10, 150.025,   0.000
12, 137.723,   0.000
14, 128.731,   0.000
16, 115.239,   0.000
18, 106.482,   0.000
20,  95.727,   0.000
22,  85.850,   0.000
24,  76.747,   0.000
26,  67.625,   0.000
28,  59.639,   0.000
30,  52.105,   0.000
32,  45.431,   0.000
34,  39.627,   0.000
36,  33.756,   0.000
38,  28.495,   0.000
40,  24.415,   0.000
42,  21.508,   0.000
44,  17.159,   0.000
46,  13.276,   0.000
48,   9.875,   0.000
50,   6.878,   0.000
52,   4.587,   0.000
54,   2.554,   0.000
56,   1.068,   0.000
58,   0.501,   0.000
59,   0.385,   0.000

play, 2
 0, 212.554,   0.000
 2, 198.891,   0.000
 4, 185.817,   0.000
 6, 174.726,   0.000
 8, 163.861,   0.000
10, 151.622,   0.000
12, 139.033,   0.000
14, 128.226,   0.000
16, 117.366,   0.000
18, 106.821,   0.000
20,  97.529,   0.000
22,  87.985,   0.000
24,  80.793,   0.000
26,  72.204,   0.000
28,  63.231,   0.000
30,  55.657,   0.000
32,  49.216,   0.000
34,  41.026,   0.000
36,  34.743,   0.000
38,  29.625,   0.000
40,  24.069,   0.000
42,  18.635,   0.000
44,  14.550,   0.000
46,  10.857,   0.000
48,   8.555,   0.000
50,   6.068,   0.000
52,   4.452,   0.000
54,   2.373,   0.000
56,   1.009,   0.000
58,   0.432,   0.000

play, 3
 0, 215.218,   0.000
 2, 200.093,   0.000
 4, 185.947,   0.000
 6, 172.110,   0.000
 8, 158.911,   0.000
10, 148.692,   0.000
12, 136.791,   0.000
14, 124.914,   0.000
16, 113.771,   0.000
18, 103.787,   0.000
20,  95.423,   0.000
22,  85.024,   0.000
24,  76.260,   0.000
26,  68.383,   0.000
28,  63.378,   0.000
30,  54.885,   0.000
32,  47.846,   0.000
34,  42.775,   0.000
36,  36.062,   0.000
38,  31.623,   0.000
40,  25.659,   0.000
42,  21.783,   0.000
44,  17.455,   0.000
46,  13.498,   0.000
48,   9.999,   0.000
50,   7.359,   0.000
52,   4.798,   0.000
54,   2.638,   0.000
56,   1.173,   0.000
57,   0.665,   0.000
59,   0.385,   0.000

play, 4
 0, 212.017,   0.000
 2, 200.299,   0.000
 4, 185.634,   0.000
 6, 172.087,   0.000
 8, 162.264,   0.000
10, 153.142,   0.000
12, 138.395,   0.000
14, 126.127,   0.000
16, 115.817,   0.000
18, 105.299,   0.000
20,  94.970,   0.000
22,  85.441,   0.000
24,  76.803,   0.000
26,  68.096,   0.000
28,  61.198,   0.000
30,  55.050,   0.000
32,  46.538,   0.000
34,  40.138,   0.000
36,  33.697,   0.000
38,  28.569,   0.000
40,  22.917,   0.000
42,  19.270,   0.000
44,  16.509,   0.000
46,  13.037,   0.000
48,   9.643,   0.000
50,   6.883,   0.000
52,   4.299,   0.000
54,   2.640,   0.000
56,   1.216,   0.000
58,   0.499,   0.000
59,   0.387,   0.000


Parameter, 1, 6144, 100, 20
play, 0
 0, 214.629,   0.000
 2, 200.779,   0.000
 4, 187.775,   0.000
 6, 178.823,   0.000
 8, 162.788,   0.000
10, 150.738,   0.000
12, 138.095,   0.000
14, 127.383,   0.000
16, 118.173,   0.000
18, 106.634,   0.000
20,  96.436,   0.000
22,  86.722,   0.000
24,  78.497,   0.000
26,  69.678,   0.000
28,  61.706,   0.000
30,  54.067,   0.000
32,  47.767,   0.000
34,  40.381,   0.000
36,  34.325,   0.000
38,  28.592,   0.000
40,  23.451,   0.000
