Starting program at Mon Feb 21 13:35:15 2022

Parameter, CUDA_PLAYOUT, n_playout, N_SIMULATION, EXPAND_BASE

Parameter, 1, 8192, 100, 20
play, 0
 0, 296.241,   0.000
 2, 275.077,   0.000
 4, 255.568,   0.000
 6, 236.637,   0.000
 8, 220.217,   0.000
10, 206.961,   0.000
12, 188.012,   0.000
14, 172.844,   0.000
16, 157.103,   0.000
18, 144.961,   0.000
20, 130.381,   0.000
22, 120.322,   0.000
24, 105.755,   0.000
26,  94.150,   0.000
28,  86.097,   0.000
30,  84.439,   0.000
31,  70.445,   0.000
33,  62.239,   0.000
35,  60.331,   0.000
36,  53.120,   0.000
37,  49.169,   0.000
38,  42.639,   0.000
40,  36.056,   0.000
42,  28.993,   0.000
44,  23.180,   0.000
46,  17.375,   0.000
48,  13.128,   0.000
50,   9.024,   0.000
52,   5.774,   0.000
54,   3.142,   0.000
56,   1.379,   0.000

play, 1
 0, 295.962,   0.000
 2, 276.577,   0.000
 4, 254.209,   0.000
 6, 236.116,   0.000
 8, 219.223,   0.000
10, 201.080,   0.000
12, 184.585,   0.000
14, 169.019,   0.000
16, 155.503,   0.000
18, 141.470,   0.000
20, 127.517,   0.000
22, 115.085,   0.000
24, 104.262,   0.000
26,  94.499,   0.000
28,  87.677,   0.000
30,  85.990,   0.000
31,  79.908,   0.000
32,  74.825,   0.000
33,  62.219,   0.000
34,  55.396,   0.000
35,   8.953,   0.000
36,   4.491,   0.000

play, 2
 0, 293.877,   0.000
 2, 278.396,   0.000
 4, 256.392,   0.000
 6, 243.200,   0.000
 8, 230.291,   0.000
10, 208.155,   0.000
12, 194.528,   0.000
14, 178.186,   0.000
16, 162.686,   0.000
18, 148.213,   0.000
20, 133.307,   0.000
22, 120.440,   0.000
24, 108.969,   0.000
26,  97.645,   0.000
28,  85.604,   0.000
30,  74.719,   0.000
32,  64.871,   0.000
34,  56.747,   0.000
36,  47.115,   0.000
38,  39.725,   0.000
40,  34.226,   0.000
42,  30.614,   0.000
44,  24.845,   0.000
46,  19.889,   0.000
47,  16.909,   0.000
48,  14.723,   0.000
49,  12.347,   0.000
51,   8.199,   0.000
53,   4.956,   0.000
55,   2.828,   0.000
56,   2.261,   0.000
57,   1.177,   0.000
58,   0.613,   0.000
59,   0.415,   0.000

play, 3
 0, 296.425,   0.000
 2, 279.051,   0.000
 4, 257.559,   0.000
 6, 242.451,   0.000
 8, 229.710,   0.000
10, 211.794,   0.000
12, 191.444,   0.000
14, 176.603,   0.000
16, 161.661,   0.000
18, 147.218,   0.000
20, 132.711,   0.000
22, 119.730,   0.000
24, 107.516,   0.000
26,  95.103,   0.000
28,  88.338,   0.000
30,  75.053,   0.000
32,  63.341,   0.000
34,  53.765,   0.000
36,  45.808,   0.000
38,  38.172,   0.000
40,  31.615,   0.000
42,  25.607,   0.000
44,  19.688,   0.000
46,  17.172,   0.000
48,  12.947,   0.000
50,   9.084,   0.000
52,   5.715,   0.000
54,   3.048,   0.000
56,   1.184,   0.000
58,   0.540,   0.000
59,   0.415,   0.000

play, 4
 0, 297.286,   0.000
 2, 278.899,   0.000
 4, 257.830,   0.000
 6, 243.815,   0.000
 8, 218.773,   0.000
10, 201.725,   0.000
12, 185.107,   0.000
14, 171.603,   0.000
16, 156.311,   0.000
18, 143.308,   0.000
20, 129.026,   0.000
22, 115.252,   0.000
24, 105.068,   0.000
26,  93.733,   0.000
28,  83.249,   0.000
30,  73.349,   0.000
32,  66.270,   0.000
34,  54.613,   0.000
36,  47.111,   0.000
38,  41.377,   0.000
40,  35.651,   0.000
42,  28.715,   0.000
44,  22.849,   0.000
46,  17.731,   0.000
48,  12.900,   0.000
50,   9.041,   0.000
52,   5.916,   0.000
54,   3.263,   0.000
56,   1.356,   0.000
58,   0.469,   0.000


Parameter, 1, 16896, 100, 20
play, 0
 0, 662.939,   0.000
 2, 620.929,   0.000
 4, 576.646,   0.000
 6, 532.539,   0.000
 8, 492.779,   0.000
10, 451.913,   0.000
12, 422.019,   0.000
14, 387.199,   0.000
16, 355.551,   0.000
18, 323.016,   0.000
20, 293.898,   0.000
22, 262.692,   0.000
24, 234.955,   0.000
26, 207.358,   0.000
28, 184.906,   0.000
30, 159.542,   0.000
32, 139.042,   0.000
34, 118.061,   0.000
36, 102.840,   0.000
38,  92.098,   0.000
40,  77.154,   0.000
42,  64.657,   0.000
44,  51.949,   0.000
46,  39.822,   0.000
48,  28.536,   0.000
50,  19.948,   0.000
51,  15.027,   0.000
53,   8.586,   0.000
55,   4.879,   0.000
57,   1.420,   0.000
59,   0.506,   0.000

play, 1
 0, 655.107,   0.000
 2, 617.142,   0.000
 4, 580.787,   0.000
 6, 545.731,   0.000
 8, 510.021,   0.000
10, 450.489,   0.000
12, 432.186,   0.000
14, 400.940,   0.000
16, 362.405,   0.000
18, 340.901,   0.000
20, 301.583,   0.000
22, 272.086,   0.000
24, 242.838,   0.000
26, 219.183,   0.000
28, 191.541,   0.000
30,  16.525,   0.000

play, 2
 0, 662.399,   0.000
 2, 625.671,   0.000
 4, 581.376,   0.000
 6, 540.020,   0.000
 8, 497.496,   0.000
10, 457.494,   0.000
12, 417.858,   0.000
14, 377.244,   0.000
16, 344.734,   0.000
18, 313.220,   0.000
20, 282.799,   0.000
22, 256.820,   0.000
24, 238.480,   0.000
26, 217.328,   0.000
28, 189.778,   0.000
30, 184.718,   0.000
31, 156.843,   0.000
33, 131.882,   0.000
35, 116.175,   0.000
37, 111.240,   0.000
38, 100.000,   0.000
40,  82.634,   0.000
41,  74.433,   0.000
43,  59.056,   0.000
45,  45.594,   0.000
47,  35.483,   0.000
49,  26.532,   0.000
51,  17.406,   0.000
53,  10.984,   0.000
55,   6.304,   0.000
57,   1.624,   0.000
59,   0.504,   0.000

play, 3
