Starting program at Sat Jan  8 21:04:30 2022

CUDA_PLAYOUT: 0, N_PLAYOUT: 256

play: 0
 0, 1459.309 [ms]
 2, 1378.087 [ms]
 4, 1322.773 [ms]
 6, 1281.886 [ms]
 8, 1228.780 [ms]
10, 1164.861 [ms]
12, 1097.842 [ms]
14, 1052.600 [ms]
16, 988.307 [ms]
18, 933.314 [ms]
20, 869.827 [ms]
22, 791.961 [ms]
24, 715.346 [ms]
26, 658.820 [ms]
28, 596.746 [ms]
30, 542.167 [ms]
32, 493.471 [ms]
34, 451.897 [ms]
36, 404.107 [ms]
38, 337.553 [ms]
40, 310.146 [ms]
42, 251.376 [ms]
44, 220.022 [ms]
46, 184.644 [ms]
48, 153.730 [ms]
50, 118.474 [ms]
52, 87.380 [ms]
54, 59.188 [ms]
56, 31.634 [ms]
58, 12.823 [ms]

play: 1
 0, 1447.438 [ms]
 2, 1387.161 [ms]
 4, 1323.740 [ms]
 6, 1269.165 [ms]
 8, 1233.487 [ms]
10, 1160.925 [ms]
12, 1113.756 [ms]
14, 1064.590 [ms]
16, 995.063 [ms]
18, 958.048 [ms]
20, 877.780 [ms]
22, 818.671 [ms]
24, 741.853 [ms]
26, 687.341 [ms]
28, 633.805 [ms]
30, 574.762 [ms]
32, 522.078 [ms]
34, 462.358 [ms]
36, 410.981 [ms]
38, 334.240 [ms]
40, 326.712 [ms]
41, 284.490 [ms]
43, 247.986 [ms]
45, 210.573 [ms]
47, 173.307 [ms]
48, 152.572 [ms]
49, 132.715 [ms]
51, 100.474 [ms]
53, 71.829 [ms]
55, 42.255 [ms]
57, 22.884 [ms]
59, 9.872 [ms]

play: 2
 0, 1454.583 [ms]
 2, 1400.467 [ms]
 4, 1335.191 [ms]
 6, 1291.445 [ms]
 8, 1245.152 [ms]
10, 1170.969 [ms]
12, 1092.762 [ms]
14, 1037.769 [ms]
16, 962.809 [ms]
18, 897.100 [ms]
20, 830.763 [ms]
22, 780.628 [ms]
24, 716.441 [ms]
26, 654.477 [ms]
28, 581.031 [ms]
30, 542.781 [ms]
32, 485.419 [ms]
34, 439.729 [ms]
36, 396.810 [ms]
38, 334.986 [ms]
40, 294.969 [ms]
42, 263.659 [ms]
44, 229.106 [ms]
45, 207.425 [ms]
46, 189.174 [ms]
47, 172.145 [ms]
49, 141.721 [ms]
50, 125.909 [ms]
51, 103.889 [ms]
53, 69.602 [ms]
55, 40.710 [ms]
57, 22.861 [ms]
59, 9.827 [ms]

play: 3
 0, 1436.503 [ms]
 2, 1386.661 [ms]
 4, 1329.057 [ms]
 6, 1269.208 [ms]
 8, 1193.809 [ms]
10, 1124.607 [ms]
12, 1050.646 [ms]
14, 1010.763 [ms]
16, 961.444 [ms]
18, 874.750 [ms]
20, 823.474 [ms]
22, 806.125 [ms]
24, 711.021 [ms]
26, 649.465 [ms]
28, 593.364 [ms]
30, 556.967 [ms]
32, 495.321 [ms]
34, 431.927 [ms]
36, 384.529 [ms]
38, 363.450 [ms]
39, 303.197 [ms]
41, 273.031 [ms]
43, 233.894 [ms]
45, 196.840 [ms]
47, 164.579 [ms]
49, 132.695 [ms]
51, 100.142 [ms]
53, 74.803 [ms]
55, 48.163 [ms]
57, 23.528 [ms]
59, 9.848 [ms]

play: 4
 0, 1446.198 [ms]
 2, 1385.158 [ms]
 4, 1307.313 [ms]
 6, 1237.731 [ms]
 8, 1157.990 [ms]
10, 1102.413 [ms]
12, 1037.836 [ms]
14, 961.375 [ms]
16, 909.502 [ms]
18, 890.285 [ms]
19, 830.566 [ms]
21, 769.227 [ms]
23, 719.263 [ms]
25, 653.943 [ms]
27, 599.086 [ms]
29, 518.283 [ms]
31, 496.639 [ms]
33, 440.104 [ms]
35, 387.348 [ms]
37, 355.263 [ms]
39, 324.615 [ms]
41, 285.674 [ms]
43, 238.315 [ms]
45, 205.817 [ms]
47, 169.355 [ms]
49, 134.148 [ms]
51, 101.182 [ms]
53, 75.980 [ms]
55, 47.256 [ms]
57, 23.970 [ms]

play: 5
 0, 1465.244 [ms]
 2, 1368.762 [ms]
 4, 1299.652 [ms]
 6, 1265.028 [ms]
 8, 1213.450 [ms]
10, 1131.165 [ms]
12, 1062.259 [ms]
14, 1003.242 [ms]
16, 916.342 [ms]
18, 883.490 [ms]
20, 819.052 [ms]
22, 751.500 [ms]
24, 689.236 [ms]
26, 657.686 [ms]
28, 598.169 [ms]
30, 531.112 [ms]
