Starting program at Sat Jan  8 20:20:12 2022

CUDA_PLAYOUT: 1, N_PLAYOUT: 256

play: 0
 0, 214.897 [ms]
 2, 197.699 [ms]
 4, 185.125 [ms]
 6, 173.187 [ms]
 8, 159.011 [ms]
10, 146.489 [ms]
12, 133.839 [ms]
14, 123.050 [ms]
16, 113.834 [ms]
18, 111.303 [ms]
19, 97.642 [ms]
21, 87.558 [ms]
23, 79.905 [ms]
25, 72.346 [ms]
27, 66.886 [ms]
29, 56.748 [ms]
31, 49.370 [ms]
33, 45.332 [ms]
35, 37.766 [ms]
37, 32.032 [ms]
39, 26.438 [ms]
41, 23.294 [ms]
43, 18.905 [ms]
45, 14.682 [ms]
47, 11.049 [ms]
49, 8.115 [ms]
51, 5.550 [ms]
53, 3.082 [ms]
55, 1.537 [ms]
57, 0.653 [ms]
58, 0.461 [ms]
59, 0.286 [ms]

play: 1
 0, 210.410 [ms]
 2, 197.464 [ms]
 4, 183.158 [ms]
 6, 171.068 [ms]
 8, 155.850 [ms]
10, 142.863 [ms]
12, 136.517 [ms]
14, 127.687 [ms]
16, 113.168 [ms]
18, 103.581 [ms]
20, 93.690 [ms]
22, 83.672 [ms]
24, 76.305 [ms]
26, 66.848 [ms]
28, 60.362 [ms]
30, 53.085 [ms]
32, 46.948 [ms]
34, 41.027 [ms]
36, 37.100 [ms]
37, 33.600 [ms]
39, 28.226 [ms]
41, 23.305 [ms]
43, 18.686 [ms]
45, 14.877 [ms]
47, 11.482 [ms]
49, 8.397 [ms]
51, 5.840 [ms]
53, 3.568 [ms]
54, 2.576 [ms]
55, 1.768 [ms]
56, 0.901 [ms]
58, 0.397 [ms]

play: 2
 0, 208.477 [ms]
 2, 198.213 [ms]
 4, 185.382 [ms]
 6, 171.062 [ms]
 8, 163.607 [ms]
10, 148.231 [ms]
12, 139.553 [ms]
14, 129.103 [ms]
16, 116.723 [ms]
18, 105.429 [ms]
20, 94.899 [ms]
22, 87.773 [ms]
24, 79.906 [ms]
26, 68.530 [ms]
28, 61.787 [ms]
30, 53.986 [ms]
32, 46.509 [ms]
34, 40.289 [ms]
36, 33.821 [ms]
38, 27.819 [ms]
40, 23.376 [ms]
42, 19.043 [ms]
44, 15.490 [ms]
46, 11.822 [ms]
48, 9.079 [ms]
50, 6.630 [ms]
52, 4.372 [ms]
54, 2.816 [ms]
56, 1.314 [ms]
57, 0.660 [ms]
58, 0.398 [ms]

play: 3
 0, 208.689 [ms]
 2, 199.053 [ms]
 4, 184.780 [ms]
 6, 176.491 [ms]
 8, 164.112 [ms]
10, 153.091 [ms]
12, 137.790 [ms]
14, 126.992 [ms]
16, 117.309 [ms]
18, 107.484 [ms]
20, 96.187 [ms]
22, 86.855 [ms]
24, 77.992 [ms]
26, 70.554 [ms]
28, 61.059 [ms]
30, 55.070 [ms]
32, 46.336 [ms]
34, 42.051 [ms]
36, 34.091 [ms]
38, 30.236 [ms]
40, 25.797 [ms]
42, 20.995 [ms]
44, 16.927 [ms]
46, 13.204 [ms]
48, 9.929 [ms]
50, 6.796 [ms]
52, 4.326 [ms]
54, 2.491 [ms]
56, 1.140 [ms]
57, 0.525 [ms]
59, 0.287 [ms]

play: 4
 0, 214.889 [ms]
 2, 200.268 [ms]
 4, 184.844 [ms]
 6, 174.403 [ms]
 8, 163.073 [ms]
10, 151.425 [ms]
12, 139.415 [ms]
14, 127.506 [ms]
16, 116.759 [ms]
18, 107.109 [ms]
20, 95.940 [ms]
22, 87.018 [ms]
24, 78.063 [ms]
26, 69.044 [ms]
28, 61.104 [ms]
30, 53.701 [ms]
32, 45.861 [ms]
34, 38.888 [ms]
36, 32.807 [ms]
38, 27.619 [ms]
40, 23.174 [ms]
42, 20.551 [ms]
44, 16.244 [ms]
46, 12.621 [ms]
48, 9.470 [ms]
50, 6.152 [ms]
52, 4.319 [ms]
54, 2.053 [ms]
57, 0.557 [ms]
59, 0.286 [ms]

play: 5
 0, 209.492 [ms]
 2, 200.478 [ms]
 4, 188.978 [ms]
 6, 172.572 [ms]
 8, 159.365 [ms]
10, 147.334 [ms]
12, 135.492 [ms]
14, 127.130 [ms]
16, 112.786 [ms]
18, 104.862 [ms]
20, 97.363 [ms]
22, 84.834 [ms]
24, 75.687 [ms]
26, 67.806 [ms]
28, 60.258 [ms]
30, 52.710 [ms]
32, 45.418 [ms]
34, 42.379 [ms]
36, 33.313 [ms]
38, 30.483 [ms]
