Starting program at Sun Jan  9 12:20:51 2022

CUDA_PLAYOUT: 1, N_PLAYOUT: 1

play: 0
 0, 216.675 [ms]
 2, 202.418 [ms]
 4, 191.427 [ms]
 6, 180.088 [ms]
 8, 168.867 [ms]
10, 157.899 [ms]
12, 145.131 [ms]
14, 134.876 [ms]
16, 122.070 [ms]
18, 111.730 [ms]
20, 101.106 [ms]
22, 91.133 [ms]
24, 82.130 [ms]
26, 74.012 [ms]
28, 65.927 [ms]
30, 57.637 [ms]
32, 50.575 [ms]
34, 44.105 [ms]
36, 37.535 [ms]
38, 31.833 [ms]
40, 26.323 [ms]
42, 21.396 [ms]
44, 17.150 [ms]
46, 13.211 [ms]
48, 9.740 [ms]
50, 6.836 [ms]
52, 4.437 [ms]
54, 2.460 [ms]
56, 1.035 [ms]
58, 0.464 [ms]
59, 0.285 [ms]

play: 1
 0, 218.280 [ms]
 2, 205.777 [ms]
 4, 194.588 [ms]
 6, 181.298 [ms]
 8, 169.378 [ms]
10, 156.593 [ms]
12, 144.970 [ms]
14, 133.283 [ms]
16, 121.698 [ms]
18, 110.836 [ms]
20, 99.681 [ms]
22, 90.038 [ms]
24, 81.629 [ms]
26, 72.511 [ms]
28, 64.400 [ms]
30, 55.837 [ms]
32, 48.254 [ms]
34, 42.577 [ms]
36, 36.328 [ms]
38, 30.483 [ms]
40, 25.243 [ms]
42, 20.679 [ms]
44, 16.174 [ms]
46, 12.272 [ms]
48, 9.027 [ms]
50, 6.600 [ms]
52, 4.034 [ms]
54, 2.136 [ms]
56, 1.011 [ms]
58, 0.393 [ms]

play: 2
 0, 218.498 [ms]
 2, 204.971 [ms]
 4, 193.275 [ms]
 6, 177.841 [ms]
 8, 167.656 [ms]
10, 154.614 [ms]
12, 141.739 [ms]
14, 131.449 [ms]
16, 120.732 [ms]
18, 110.837 [ms]
20, 99.905 [ms]
22, 90.505 [ms]
24, 81.144 [ms]
26, 73.026 [ms]
28, 64.886 [ms]
30, 57.545 [ms]
32, 50.184 [ms]
34, 43.410 [ms]
36, 37.035 [ms]
38, 31.264 [ms]
40, 25.828 [ms]
42, 21.015 [ms]
44, 17.144 [ms]
45, 15.186 [ms]
46, 13.379 [ms]
47, 11.428 [ms]
49, 8.543 [ms]
51, 5.818 [ms]
53, 3.424 [ms]
55, 1.907 [ms]
57, 0.799 [ms]
58, 0.395 [ms]
59, 0.284 [ms]

play: 3
 0, 217.213 [ms]
 2, 204.642 [ms]
 4, 193.383 [ms]
 6, 179.031 [ms]
 8, 168.441 [ms]
10, 154.812 [ms]
12, 142.412 [ms]
14, 132.287 [ms]
16, 120.693 [ms]
18, 110.506 [ms]
20, 99.914 [ms]
22, 91.780 [ms]
24, 81.469 [ms]
26, 72.640 [ms]
28, 65.533 [ms]
30, 57.702 [ms]
32, 50.855 [ms]
34, 44.276 [ms]
36, 37.250 [ms]
38, 31.624 [ms]
40, 26.286 [ms]
42, 21.337 [ms]
44, 17.012 [ms]
46, 13.031 [ms]
48, 9.512 [ms]
50, 6.564 [ms]
52, 4.202 [ms]
54, 2.364 [ms]
56, 1.161 [ms]
58, 0.330 [ms]

play: 4
 0, 217.348 [ms]
 2, 206.028 [ms]
 4, 193.545 [ms]
 6, 180.169 [ms]
 8, 167.170 [ms]
10, 153.197 [ms]
12, 142.256 [ms]
14, 131.518 [ms]
16, 121.482 [ms]
18, 110.702 [ms]
20, 100.794 [ms]
22, 90.914 [ms]
24, 81.777 [ms]
26, 73.395 [ms]
28, 64.695 [ms]
30, 57.435 [ms]
32, 50.096 [ms]
34, 43.272 [ms]
36, 37.114 [ms]
38, 31.460 [ms]
40, 26.113 [ms]
42, 21.350 [ms]
44, 16.952 [ms]
46, 12.632 [ms]
48, 9.471 [ms]
50, 6.486 [ms]
52, 4.017 [ms]
54, 2.422 [ms]
56, 1.249 [ms]

play: 5
 0, 217.689 [ms]
 2, 205.751 [ms]
 4, 193.460 [ms]
 6, 179.585 [ms]
 8, 166.947 [ms]
10, 154.543 [ms]
12, 144.550 [ms]
14, 133.215 [ms]
16, 121.785 [ms]
18, 111.731 [ms]
20, 101.984 [ms]
22, 92.047 [ms]
24, 83.481 [ms]
26, 74.481 [ms]
28, 66.109 [ms]
30, 58.144 [ms]
32, 50.551 [ms]
34, 43.588 [ms]
36, 37.029 [ms]
38, 31.502 [ms]
40, 26.096 [ms]
42, 21.068 [ms]
44, 16.690 [ms]
